Muni_Code,Muni,Year,Cases,codigo_ibg,Muni_Name
110001, Alta Floresta D'Oeste,2001,161,1100015,Alta Floresta D'Oeste
110001, Alta Floresta D'Oeste,2002,109,1100015,Alta Floresta D'Oeste
110001, Alta Floresta D'Oeste,2003,106,1100015,Alta Floresta D'Oeste
110001, Alta Floresta D'Oeste,2004,107,1100015,Alta Floresta D'Oeste
110001, Alta Floresta D'Oeste,2005,49,1100015,Alta Floresta D'Oeste
110001, Alta Floresta D'Oeste,2006,25,1100015,Alta Floresta D'Oeste
110037, Alto Alegre dos Parecis,2001,56,1100379,Alto Alegre dos Parecis
110037, Alto Alegre dos Parecis,2002,49,1100379,Alto Alegre dos Parecis
110037, Alto Alegre dos Parecis,2003,42,1100379,Alto Alegre dos Parecis
110037, Alto Alegre dos Parecis,2004,47,1100379,Alto Alegre dos Parecis
110037, Alto Alegre dos Parecis,2005,29,1100379,Alto Alegre dos Parecis
110037, Alto Alegre dos Parecis,2006,20,1100379,Alto Alegre dos Parecis
110040, Alto ParaÌso,2001,17,1100403,Alto Para√≠so
110040, Alto ParaÌso,2002,12,1100403,Alto Para√≠so
110040, Alto ParaÌso,2003,9,1100403,Alto Para√≠so
110040, Alto ParaÌso,2004,25,1100403,Alto Para√≠so
110040, Alto ParaÌso,2005,15,1100403,Alto Para√≠so
110040, Alto ParaÌso,2006,21,1100403,Alto Para√≠so
110034, Alvorada D'Oeste,2001,43,1100346,Alvorada D'Oeste
110034, Alvorada D'Oeste,2002,29,1100346,Alvorada D'Oeste
110034, Alvorada D'Oeste,2003,47,1100346,Alvorada D'Oeste
110034, Alvorada D'Oeste,2004,25,1100346,Alvorada D'Oeste
110034, Alvorada D'Oeste,2005,45,1100346,Alvorada D'Oeste
110034, Alvorada D'Oeste,2006,10,1100346,Alvorada D'Oeste
110002, Ariquemes,2001,97,1100023,Ariquemes
110002, Ariquemes,2002,109,1100023,Ariquemes
110002, Ariquemes,2003,74,1100023,Ariquemes
110002, Ariquemes,2004,118,1100023,Ariquemes
110002, Ariquemes,2005,79,1100023,Ariquemes
110002, Ariquemes,2006,76,1100023,Ariquemes
110045, Buritis,2001,57,1100452,Buritis
110045, Buritis,2002,68,1100452,Buritis
110045, Buritis,2003,94,1100452,Buritis
110045, Buritis,2004,52,1100452,Buritis
110045, Buritis,2005,75,1100452,Buritis
110045, Buritis,2006,79,1100452,Buritis
110003, Cabixi,2001,6,1100031,Cabixi
110003, Cabixi,2002,5,1100031,Cabixi
110003, Cabixi,2003,12,1100031,Cabixi
110003, Cabixi,2004,28,1100031,Cabixi
110003, Cabixi,2005,5,1100031,Cabixi
110003, Cabixi,2006,4,1100031,Cabixi
110060, Cacaul‚ndia,2001,17,1100601,Cacaul√¢ndia
110060, Cacaul‚ndia,2002,28,1100601,Cacaul√¢ndia
110060, Cacaul‚ndia,2003,23,1100601,Cacaul√¢ndia
110060, Cacaul‚ndia,2004,12,1100601,Cacaul√¢ndia
110060, Cacaul‚ndia,2005,10,1100601,Cacaul√¢ndia
110060, Cacaul‚ndia,2006,22,1100601,Cacaul√¢ndia
110004, Cacoal,2001,120,1100049,Cacoal
110004, Cacoal,2002,109,1100049,Cacoal
110004, Cacoal,2003,104,1100049,Cacoal
110004, Cacoal,2004,133,1100049,Cacoal
