Muni_Code,Muni,Year,Week,Cases,Week_Yr,Muni_Name
05001,MEDELLIN,2017,1,0,2017-01-08,MEDELLIN
05001,MEDELLIN,2017,2,0,2017-01-15,MEDELLIN
05001,MEDELLIN,2017,3,0,2017-01-22,MEDELLIN
05001,MEDELLIN,2017,4,0,2017-01-29,MEDELLIN
05001,MEDELLIN,2017,5,0,2017-02-05,MEDELLIN
05001,MEDELLIN,2017,6,0,2017-02-12,MEDELLIN
05001,MEDELLIN,2017,7,0,2017-02-19,MEDELLIN
05001,MEDELLIN,2017,8,0,2017-02-26,MEDELLIN
05001,MEDELLIN,2017,9,0,2017-03-05,MEDELLIN
05001,MEDELLIN,2017,10,0,2017-03-12,MEDELLIN
05001,MEDELLIN,2017,11,0,2017-03-19,MEDELLIN
05001,MEDELLIN,2017,12,0,2017-03-26,MEDELLIN
05001,MEDELLIN,2017,13,0,2017-04-02,MEDELLIN
05001,MEDELLIN,2017,14,0,2017-04-09,MEDELLIN
05001,MEDELLIN,2017,15,0,2017-04-16,MEDELLIN
05001,MEDELLIN,2017,16,1,2017-04-23,MEDELLIN
05001,MEDELLIN,2017,17,0,2017-04-30,MEDELLIN
05001,MEDELLIN,2017,18,2,2017-05-07,MEDELLIN
05001,MEDELLIN,2017,19,0,2017-05-14,MEDELLIN
05001,MEDELLIN,2017,20,0,2017-05-21,MEDELLIN
05001,MEDELLIN,2017,21,0,2017-05-28,MEDELLIN
05001,MEDELLIN,2017,22,0,2017-06-04,MEDELLIN
05001,MEDELLIN,2017,23,0,2017-06-11,MEDELLIN
05001,MEDELLIN,2017,24,1,2017-06-18,MEDELLIN
05001,MEDELLIN,2017,25,0,2017-06-25,MEDELLIN
05001,MEDELLIN,2017,26,0,2017-07-02,MEDELLIN
05001,MEDELLIN,2017,27,0,2017-07-09,MEDELLIN
05001,MEDELLIN,2017,28,0,2017-07-16,MEDELLIN
05001,MEDELLIN,2017,29,0,2017-07-23,MEDELLIN
05001,MEDELLIN,2017,30,0,2017-07-30,MEDELLIN
05001,MEDELLIN,2017,31,0,2017-08-06,MEDELLIN
05001,MEDELLIN,2017,32,0,2017-08-13,MEDELLIN
05001,MEDELLIN,2017,33,0,2017-08-20,MEDELLIN
05001,MEDELLIN,2017,34,0,2017-08-27,MEDELLIN
05001,MEDELLIN,2017,35,0,2017-09-03,MEDELLIN
05001,MEDELLIN,2017,36,0,2017-09-10,MEDELLIN
05001,MEDELLIN,2017,37,0,2017-09-17,MEDELLIN
05001,MEDELLIN,2017,38,0,2017-09-24,MEDELLIN
05001,MEDELLIN,2017,39,0,2017-10-01,MEDELLIN
05001,MEDELLIN,2017,40,0,2017-10-08,MEDELLIN
05001,MEDELLIN,2017,41,0,2017-10-15,MEDELLIN
05001,MEDELLIN,2017,42,0,2017-10-22,MEDELLIN
05001,MEDELLIN,2017,43,0,2017-10-29,MEDELLIN
05001,MEDELLIN,2017,44,0,2017-11-05,MEDELLIN
05001,MEDELLIN,2017,45,1,2017-11-12,MEDELLIN
05001,MEDELLIN,2017,46,0,2017-11-19,MEDELLIN
05001,MEDELLIN,2017,47,1,2017-11-26,MEDELLIN
05001,MEDELLIN,2017,48,1,2017-12-03,MEDELLIN
05001,MEDELLIN,2017,49,0,2017-12-10,MEDELLIN
05001,MEDELLIN,2017,50,1,2017-12-17,MEDELLIN
05001,MEDELLIN,2017,51,0,2017-12-24,MEDELLIN
05001,MEDELLIN,2017,52,0,2017-12-31,MEDELLIN
05001,MEDELLIN,2017,53,0,2018-01-07,MEDELLIN
05031,AMALFI,2017,1,2,2017-01-08,AMALFI
05031,AMALFI,2017,2,0,2017-01-15,AMALFI
05031,AMALFI,2017,3,1,2017-01-22,AMALFI
