,Locality,Latitude,Longitude
0,PUKIRI,-12.7239,-70.4676
1,PALMA REAL,-12.5109,-68.7772
2,ALEGRIA,-12.0324,-69.0488
3,BOCA PUKIRI,-12.6781,-70.4804
4,HUEPETUHE,-13.0215,-70.5003
5,MAZUKO,-13.1001,-70.3674
6,PUERTO MALDONADO,-12.5933,-69.1891
7,SALVACION,-12.8361,-71.3649
8,IBERIA,-11.35,-69.5833
9,EL PRADO,-12.5426,-69.1943
10,PUERTO LUZ,-12.7455,-70.5961
11,PUERTO PUNKIRI,-13.0662,-70.3955
12,DOS DE MAYO,-13.0686,-70.3544
13,ALTO PUKIRI,-12.8249,-70.5247
14,NUEVA ESPERANZA,-11.0154,-69.6026
15,COMUNIDAD PUKIRI,-12.7431,-70.5163
16,SAN LORENZO,-11.4667,-69.3
17,LAS PIEDRAS,-12.5964,-69.1402
18,ALTO 2 DE MAYO,,
19,SAN FRANCISCO MADRE DE DI,,
20,LA MERCED,-11.3791,-69.3216
21,BAJO TAMBOPATA,-12.6516,-69.2202
22,CHOQUE,-12.9817,-70.5916
23,DIAMANTE,-12.3224,-70.9434
24,TUMI,-12.6711,-69.8087
25,ALERTA,-11.6597,-69.2344
26,MALVINAS,-12.6161,-70.1207
27,MONTE SALVADO,-11.9413,-70.1108
28,BOCA UNION,-12.7089,-69.6847
29,PALOTOA TEPARO,-12.6284,-71.3558
30,BOCA DEL INAMBARI,,
31,LA JOYA,,
32,BOCA COLORADO,-12.6168,-70.3928
33,LA TORRE,-12.8241,-69.3051
34,BOCA MANU,-12.5906,-70.0562
35,SANTA ROSA,-12.0126,-69.1345
36,PUERTO ROSARIO DE LABERIN,-12.7171,-69.5868
37,FLORIDA ALTA,-12.7826,-69.6047
38,INAPARI,-11.1253,-69.5648
39,PASTORA GRANDE,-12.6036,-69.543
40,INAMBARILLO,-12.7225,-69.7874
41,BELLO HORIZONTE,-12.4978,-69.1452
42,TRES ISLAS,-12.5477,-69.3714
43,CENTRO PIEDRAS,-12.327,-69.1988
44,SAN JACINTO,-12.5771,-69.3913
45,SACHAVACAYOC,-12.8501,-69.3604
46,BAJO PIEDRAS,-12.0324,-69.0488
47,BAJO MADRE DE DIOS,-12.599,-69.1338
48,SAN JUAN,-12.8296,-69.6637
49,CAYCHIHUE,-13.0354,-70.4282
50,ALTA PASTORA,-12.5751,-69.2302
51,FITZCARRALD,-12.6692,-69.3487
52,ITAHUANIA,-12.6313,-71.2282
53,ROMPEOLAS,-12.5748,-69.2001
54,PIÑAL,-12.0117,-69.0651
55,SAN JUAN DE APOCENTO,-11.9177,-68.9768
56,JAYAVE,-12.7809,-69.9632
57,LORETO,-12.0657,-69.4863
58,SHINTUYA,-12.6673,-71.2965
59,TRES ESTRELLAS,-12.6722,-69.3152
60,PUERTO UNION,-12.5674,-69.3196
61,TRIUNFO,-12.1554,-69.4111
62,BAJO ALEGRIA,-12.0324,-69.0488
63,BALTIMORI,-12.8314,-69.4464
64,MAVILA,-11.9341,-69.119
65,OCEANIA,,
66,LAGARTO (BASE NAVAL),-12.6523,-69.8308
67,FORTUNA,-13.0002,-70.5571
68,CAFETAL,-11.9716,-69.1349
69,LA NOVIA,-11.7761,-69.305
70,ALTO LOERO,-12.6683,-69.2134
71,SUDADERO,-12.3808,-69.1439
72,MIRAFLORES,-11.4409,-69.4199
73,BOCA PARIAMANU,-12.4277,-69.2676
74,TAYACOME,-11.7224,-71.6492
75,BARRANCA,,
76,SAN FRANCISCO,-11.4133,-69.5659
77,SAN JACINTO,-12.5771,-69.3913
78,MANSILLA I,-12.7501,-71.3514
79,SARAYACU,-12.7959,-70.0375
80,FUNDO CONCEPCION,-12.6091,-69.0975
81,PUERTO PARDO,-12.5036,-68.6592
82,PALMICHAL,-12.5225,-69.4159
83,RIMAC O PARQUE EL TRIUNFO,-12.5881,-69.1668
84,BOCA AMIGO,-12.5906,-70.0562
85,SANTA MARIA,-11.8944,-69.0063
86,YARINAL,,
87,LOBOYOC,-12.4577,-69.1714
88,GAMITANA,-12.8704,-71.3502
89,SANTA INES,-13.0135,-70.4691
90,NUEVO PACARAN,-11.8388,-69.1165
91,VILLA ROCIO,-11.7817,-69.186
92,ALTO LOBOYOC,-12.4577,-69.1714
93,PLAYA ALTA,-12.5132,-69.3586
94,SAN CARLOS,-12.0861,-69.2934
95,BARRACA,-12.2978,-70.7709
96,PUNKIRI CHICO,-12.9165,-70.3665
97,LIBERTAD,-12.9726,-70.6065
98,BOCA MANU,-12.5906,-70.0562
99,SANTA RITA ALTA,-12.9145,-70.2456
100,SONENE,-12.5711,-68.7015
101,AGUAS NEGRAS,-12.2586,-69.2008
102,ADANRAYO,,
103,BOCA ISIRIBE,,
104,TUPAC AMARU,-12.594,-69.3269
105,EL PILAR,-12.5692,-69.2707
106,PACAHUARA,-11.2886,-69.7015
107,HUEPETUHE,-13.0215,-70.5003
108,BARRANCO CHICO,-12.5706,-70.5107
109,ABEJA,-11.4111,-69.3532
110,PUERTO ARTURO,-12.4894,-69.2082
111,SACHABACAYOC,-13.1075,-70.4125
112,PLAYA OCULTA O BAJO COLOR,,
113,NUEVO EDEN,-12.3686,-71.0079
114,PUERTO MAZUKO,-13.091,-70.3911
115,COPAMANU,,
116,ALTO CARBON,-12.9015,-71.3219
117,LAGO SANDOVAL,-12.6119,-69.0462
118,PASTORA GRANDE,-12.6036,-69.543
119,PEDRO ANTONIO,-12.6345,-69.549
120,LAGO VALENCIA,-12.4087,-68.7597
121,CENTRO CACHUELA,-12.5371,-69.1696
122,INFIERNO,-12.7299,-69.2284
123,SANTA ROSA,-12.0126,-69.1345
124,MONTERREY,-12.2076,-69.1286
125,SAN BERNARDO,-12.6874,-69.3991
126,PALMERA,-13.1157,-70.3817
127,KOTSIMBA,-13.0899,-70.2419
128,KIMBIRI,-13.099,-70.4147
129,ISLA ROLIN,-12.5492,-69.048
130,BELGICA,-10.9699,-69.75
131,FLOR DE ACRE,-11.3601,-69.5638
132,ATALAYA,,
133,YOMIBATO,-11.7608,-71.8738
134,HUACAMAYO CHICO,-12.7645,-69.8015
135,BOCA MANU,-12.5906,-70.0562
136,LAS PIEDRAS,-12.5964,-69.1402
137,SHIRINGAYOC,-11.9032,-69.0858
138,VILLA PRIMAVERA,-11.0417,-69.5732
139,SAN ANTONIO DE ABAD,-11.3413,-69.5066
140,KIMIRI,-13.0955,-70.4271
141,SANTA CRUZ,-12.6666,-71.3432
142,NUEVA ESPERANZA,-11.0154,-69.6026
143,LA MERCED,-11.3791,-69.3216
144,MAZUKO,-13.1001,-70.3674
145,MAZUKO,-13.1001,-70.3674
146,DELTA,-12.7745,-70.527
147,CINCO ISLAS,-12.6523,-69.9639
148,SANTA RITA BAJA,-12.914,-70.1928
