DEPARTAMENTO DE MADRE DE DIOS,,,,,,,,,,,
,,,,,,,,,,,
CÓDIGO,CENTROS POBLADOS,"REGIÓN NATURAL (según piso
altitudinal)","ALTITUD
(m s.n.m.)",POBLACIÓN CENSADA,,,VIVIENDAS PARTICULARES,,,District Code,District Name
1,PUERTO MALDONADO,Omagua,204,77 221,39 627,37 594,26 278,24 713,1 565,170101,TAMBOPATA
2,MONTE SALVADO,Omagua,283,69,32,37,12,12,-,170101,TAMBOPATA
3,BOCA PARIAMANU,Omagua,188,70,42,28,18,18,-,170101,TAMBOPATA
5,OTILIA,Omagua,200,173,90,83,76,65,11,170101,TAMBOPATA
6,EL PRADO,Omagua,252,165,84,81,71,63,8,170101,TAMBOPATA
7,ALTA CACHUELA,Omagua,175,20,11,9,17,17,-,170101,TAMBOPATA
8,CENTRO CACHUELA,Omagua,173,37,22,15,52,48,4,170101,TAMBOPATA
9,ROMPEOLAS,Omagua,195,12,6,6,13,13,-,170101,TAMBOPATA
10,LA PASTORA,Omagua,198,12,8,4,6,6,-,170101,TAMBOPATA
11,ALTA PASTORA,Omagua,216,-,-,-,10,10,-,170101,TAMBOPATA
12,EL PILAR,Omagua,236,60,33,27,42,42,-,170101,TAMBOPATA
13,PUERTO UNION,Omagua,177,-,-,-,3,3,-,170101,TAMBOPATA
14,PLAYA ALTA,Omagua,177,13,9,4,6,6,-,170101,TAMBOPATA
16,ALTO CHORRILLOS,Omagua,209,1,1,-,8,7,1,170101,TAMBOPATA
17,TRES ISLAS,Omagua,208,157,78,79,50,50,-,170101,TAMBOPATA
18,TUPAC AMARU,Omagua,254,29,14,15,16,16,-,170101,TAMBOPATA
19,CHORRILLOS,Omagua,243,75,44,31,24,24,-,170101,TAMBOPATA
20,CENTRO PASTORA,Omagua,245,183,103,80,58,58,-,170101,TAMBOPATA
23,EL CASTAÑAL,Omagua,238,353,191,162,219,184,35,170101,TAMBOPATA
24,FITZCARRALD,Omagua,245,46,22,24,33,26,7,170101,TAMBOPATA
25,TENIENTE ACEVEDO,Omagua,261,17,10,7,6,6,-,170101,TAMBOPATA
26,AGUAS NEGRAS,Omagua,234,14,11,3,10,8,2,170101,TAMBOPATA
27,SAN BERNARDO,Omagua,250,153,88,65,89,81,8,170101,TAMBOPATA
30,MONTE SINAI (SINAI DE CHENTA),Omagua,244,-,-,-,7,1,6,170101,TAMBOPATA
31,TRES ESTRELLAS,Omagua,229,12,8,4,5,5,-,170101,TAMBOPATA
32,CHONTA,Omagua,217,49,26,23,28,27,1,170101,TAMBOPATA
33,INFIERNO,Omagua,230,343,169,174,125,120,5,170101,TAMBOPATA
34,LA TORRE,Omagua,180,177,152,25,18,17,1,170101,TAMBOPATA
35,SACHAVACAYOC,Omagua,179,9,9,-,12,10,2,170101,TAMBOPATA
36,CONDENADO,Omagua,178,21,16,5,9,9,-,170101,TAMBOPATA
37,BALTIMORI,Omagua,179,19,14,5,20,17,3,170101,TAMBOPATA
38,SAN JACINTO,Omagua,210,99,53,46,26,26,-,170101,TAMBOPATA
39,BAJO TAMBOPATA,Omagua,211,54,33,21,30,28,2,170101,TAMBOPATA
40,IZUYAMA,Omagua,212,130,68,62,59,49,10,170101,TAMBOPATA
41,LOERO,Omagua,235,37,24,13,20,20,-,170101,TAMBOPATA
42,ALTO LOERO,Omagua,202,6,3,3,10,10,-,170101,TAMBOPATA
43,BAJO MADRE DE DIOS IZQUIERDA,Omagua,177,6,4,2,21,19,2,170101,TAMBOPATA
45,JORGE CHAVEZ,Omagua,244,24,12,12,24,21,3,170101,TAMBOPATA
