"","LocalCode","Locality","Altitude","Population","Code","District"
"1","1701010001","PUERTO MALDONADO",204,"77 221","170101","TAMBOPATA"
"2","1701010002","MONTE SALVADO",283,"69","170101","TAMBOPATA"
"3","1701010003","BOCA PARIAMANU",188,"70","170101","TAMBOPATA"
"4","1701010005","OTILIA",200,"173","170101","TAMBOPATA"
"5","1701010006","EL PRADO",252,"165","170101","TAMBOPATA"
"6","1701010007","ALTA CACHUELA",175,"20","170101","TAMBOPATA"
"7","1701010008","CENTRO CACHUELA",173,"37","170101","TAMBOPATA"
"8","1701010009","ROMPEOLAS",195,"12","170101","TAMBOPATA"
"9","1701010010","LA PASTORA",198,"12","170101","TAMBOPATA"
"10","1701010011","ALTA PASTORA",216,"-","170101","TAMBOPATA"
"11","1701010012","EL PILAR",236,"60","170101","TAMBOPATA"
"12","1701010013","PUERTO UNION",177,"-","170101","TAMBOPATA"
"13","1701010014","PLAYA ALTA",177,"13","170101","TAMBOPATA"
"14","1701010016","ALTO CHORRILLOS",209,"1","170101","TAMBOPATA"
"15","1701010017","TRES ISLAS",208,"157","170101","TAMBOPATA"
"16","1701010018","TUPAC AMARU",254,"29","170101","TAMBOPATA"
"17","1701010019","CHORRILLOS",243,"75","170101","TAMBOPATA"
"18","1701010020","CENTRO PASTORA",245,"183","170101","TAMBOPATA"
"19","1701010023","EL CASTAÑAL",238,"353","170101","TAMBOPATA"
"20","1701010024","FITZCARRALD",245,"46","170101","TAMBOPATA"
"21","1701010025","TENIENTE ACEVEDO",261,"17","170101","TAMBOPATA"
"22","1701010026","AGUAS NEGRAS",234,"14","170101","TAMBOPATA"
"23","1701010027","SAN BERNARDO",250,"153","170101","TAMBOPATA"
"24","1701010030","MONTE SINAI (SINAI DE CHENTA)",244,"-","170101","TAMBOPATA"
"25","1701010031","TRES ESTRELLAS",229,"12","170101","TAMBOPATA"
"26","1701010032","CHONTA",217,"49","170101","TAMBOPATA"
"27","1701010033","INFIERNO",230,"343","170101","TAMBOPATA"
"28","1701010034","LA TORRE",180,"177","170101","TAMBOPATA"
"29","1701010035","SACHAVACAYOC",179,"9","170101","TAMBOPATA"
"30","1701010036","CONDENADO",178,"21","170101","TAMBOPATA"
"31","1701010037","BALTIMORI",179,"19","170101","TAMBOPATA"
"32","1701010038","SAN JACINTO",210,"99","170101","TAMBOPATA"
"33","1701010039","BAJO TAMBOPATA",211,"54","170101","TAMBOPATA"
"34","1701010040","IZUYAMA",212,"130","170101","TAMBOPATA"
"35","1701010041","LOERO",235,"37","170101","TAMBOPATA"
"36","1701010042","ALTO LOERO",202,"6","170101","TAMBOPATA"
"37","1701010043","BAJO MADRE DE DIOS IZQUIERDA",177,"6","170101","TAMBOPATA"
"38","1701010045","JORGE CHAVEZ",244,"24","170101","TAMBOPATA"
"39","1701010046","LAGO SANDOVAL",204,"4","170101","TAMBOPATA"
"40","1701010047","ISLA ROLIN",176,"15","170101","TAMBOPATA"
"41","1701010048","SAN FRANCISCO",161,"4","170101","TAMBOPATA"
"42","1701010049","PALMA REAL",187,"177","170101","TAMBOPATA"
"43","1701010050","PUERTO PARDO",173,"56","170101","TAMBOPATA"
"44","1701010051","SONENE",173,"96","170101","TAMBOPATA"
"45","1701010052","PUERTO NUEVO",269,"46","170101","TAMBOPATA"
"46","1701010053","SABALUYOC",195,"18","170101","TAMBOPATA"
"47","1701010055","NUEVO SOL NACIENTE",214,"5","170101","TAMBOPATA"
"48","1701010060","PALMICHAL",204,"32","170101","TAMBOPATA"
"49","1701010065","TIPISCA",200,"43","170101","TAMBOPATA"
"50","1701010067","DIAMANTE",226,"1 422","170101","TAMBOPATA"
"51","1701010070","PLAYA ALTA",169,"2","170101","TAMBOPATA"
"52","1701010071","GAMITANA",175,"5","170101","TAMBOPATA"
"53","1701010072","NUEVA AMERICA",234,"13","170101","TAMBOPATA"
"54","1701010073","LA VICTORIA",305,"17","170101","TAMBOPATA"
"55","1701010074","SANTA TERESITA",298,"104","170101","TAMBOPATA"
"56","1701020001","MAZUKO",351,"6 296","170102","INAMBARI"
"57","1701020002","SARAYACU",232,"443","170102","INAMBARI"
"58","1701020003","JAYAVE",261,"86","170102","INAMBARI"
"59","1701020004","ALTO LIBERTAD",264,"284","170102","INAMBARI"
"60","1701020005","NUEVA AREQUIPA",271,"299","170102","INAMBARI"
"61","1701020006","VIRGEN DE LA CANDELARIA",237,"365","170102","INAMBARI"
"62","1701020007","PRIMAVERA BAJA",246,"341","170102","INAMBARI"
"63","1701020008","PRIMAVERA ALTA",251,"98","170102","INAMBARI"
"64","1701020009","SANTA RITA BAJA",259,"175","170102","INAMBARI"
"65","1701020010","SANTA RITA ALTA",282,"103","170102","INAMBARI"
"66","1701020011","SANTA ROSA",316,"1 490","170102","INAMBARI"
"67","1701020012","KOTSIMBA",319,"109","170102","INAMBARI"
"68","1701020013","VILLA SANTIAGO (ARAZAIRE)",343,"51","170102","INAMBARI"
"69","1701020014","ALTO DOS DE MAYO",374,"9","170102","INAMBARI"
"70","1701020015","DOS DE MAYO",346,"213","170102","INAMBARI"
"71","1701020016","PUERTO MAZUKO",331,"177","170102","INAMBARI"
"72","1701020017","PALMERA",342,"208","170102","INAMBARI"
"73","1701020018","PONAL",255,"88","170102","INAMBARI"
"74","1701020019","PUERTO CARLOS",304,"15","170102","INAMBARI"
"75","1701020020","NUEVA ESPERANZA",270,"14","170102","INAMBARI"
"76","1701020022","PADRE HERMOGENES",216,"5","170102","INAMBARI"
"77","1701020023","LA DISTANCIA",227,"16","170102","INAMBARI"
"78","1701020024","UNION PROGRESO",228,"244","170102","INAMBARI"
"79","1701020025","SOL NACIENTE",262,"114","170102","INAMBARI"
"80","1701020027","MALINOSQUI",236,"114","170102","INAMBARI"
"81","1701020028","AZUL",242,"17","170102","INAMBARI"
"82","1701020029","QUEBRADA SECA",359,"14","170102","INAMBARI"
"83","1701020030","TAZON",359,"5","170102","INAMBARI"
"84","1701020032","EL PROGRESO",271,"22","170102","INAMBARI"
"85","1701020034","ARAZAIRE",352,"49","170102","INAMBARI"
"86","1701020037","ALTO HUACAMAYO",240,"28","170102","INAMBARI"
"87","1701020039","NUEVO ALTO AREQUIPA",242,"69","170102","INAMBARI"
"88","1701020044","MAZUKO 1",349,"9","170102","INAMBARI"
"89","1701030001","LAS PIEDRAS (PLANCHON)",239,"1 297","170103","LAS PIEDRAS"
"90","1701030002","MIRAFLORES",252,"24","170103","LAS PIEDRAS"
