,Locality,Place_Name,District,Latitude,Longitude,Accuracy,Admin_Name_1,Admin_Name_2,Admin_Name_3
0,PUERTO MALDONADO,"""Puerto Maldonado""",TAMBOPATA,-12.5933,-69.1891,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
1,MONTE SALVADO,"""Monte Salvado""",TAMBOPATA,-11.9413,-70.1108,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
2,BOCA PARIAMANU,"""Boca Pariamanu""",TAMBOPATA,-12.4277,-69.2676,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
3,OTILIA,"""Otilia""",TAMBOPATA,-12.5295,-69.2133,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
4,EL PRADO,"""El Prado""",TAMBOPATA,-12.5426,-69.1943,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
5,ALTA CACHUELA,"""Alta Cachuela""",TAMBOPATA,-12.4884,-69.1824,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
6,CENTRO CACHUELA,"""Centro Cachuela""",TAMBOPATA,-12.5371,-69.1696,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
7,ROMPEOLAS,"""Rompeolas""",TAMBOPATA,-12.5748,-69.2001,3,"""Madre De Dios""","""Tambopata""","""Tambopata"""
8,LA PASTORA,"""La Pastora""",TAMBOPATA,-12.5774,-69.1907,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
9,LA PASTORA,"""Pastora Grande""",TAMBOPATA,-12.6036,-69.543,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
10,ALTA PASTORA,"""Alta Pastora""",TAMBOPATA,-12.5751,-69.2302,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
11,EL PILAR,"""El Pilar""",TAMBOPATA,-12.5692,-69.2707,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
12,PUERTO UNION,"""Puerto Union""",TAMBOPATA,-12.5674,-69.3196,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
13,PLAYA ALTA,"""Playa Alta""",TAMBOPATA,-12.5132,-69.3586,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
14,ALTO CHORRILLOS,"""Alto Chorrillos""",TAMBOPATA,-12.5869,-69.291,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
15,TRES ISLAS,"""Tres Islas""",TAMBOPATA,-12.5477,-69.3714,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
16,TUPAC AMARU,"""Tupac Amaru""",TAMBOPATA,-12.594,-69.3269,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
17,CHORRILLOS,"""Chorrillos""",TAMBOPATA,-12.606,-69.2852,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
18,CHORRILLOS,"""Alto Chorrillos""",TAMBOPATA,-12.5869,-69.291,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
19,CENTRO PASTORA,"""Centro Pastora""",TAMBOPATA,-12.6057,-69.2505,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
20,EL CASTAÑAL,"""El Casta\u00f1al""",TAMBOPATA,-12.6342,-69.2607,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
21,FITZCARRALD,"""Fitzcarrald""",TAMBOPATA,-12.6692,-69.3487,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
22,TENIENTE ACEVEDO,"""Teniente Acevedo""",TAMBOPATA,-12.6411,-69.3605,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
23,AGUAS NEGRAS,"""Aguas Negras""",TAMBOPATA,-12.6656,-69.4251,4,"""Madre De Dios""","""Tambopata""","""Tambopata"""
24,AGUAS NEGRAS,"""Aguas Negras""",TAMBOPATA,-12.2586,-69.2008,4,"""Madre De Dios""","""Tambopata""","""Las Piedras"""
