"","Locality","Place_Name","District","Admin_Name_3","Dist_Adm3","loc_pl","Latitude","Longitude","Accuracy","Admin_Name_1","Admin_Name_2","select_rank"
"1","AGUAS NEGRAS","AGUAS NEGRAS","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6656,-69.4251,4,"""Madre De Dios""","""Tambopata""",1
"2","ALEGRIA","ALEGRIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.1195,-69.1187,4,"""Madre De Dios""","""Tambopata""",1
"3","ARAZAIRE","ARAZAIRE","INAMBARI","INAMBARI",TRUE,TRUE,-13.0013,-70.3424,3,"""Madre De Dios""","""Tambopata""",1
"4","BAJO MADRE DE DIOS","BAJO MADRE DE DIOS","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.599,-69.1338,4,"""Madre De Dios""","""Tambopata""",1
"5","BAJO PIEDRAS","BAJO PIEDRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.465,-69.2573,4,"""Madre De Dios""","""Tambopata""",1
"6","BAJO TAMBOPATA","BAJO TAMBOPATA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6516,-69.2202,4,"""Madre De Dios""","""Tambopata""",1
"7","BELGICA","BELGICA","IÑAPARI","IÑAPARI",TRUE,TRUE,-10.973,-69.7314,3,"""Madre De Dios""","""Tahuamanu""",1
"8","CENTRO PIEDRAS","CENTRO DE PIEDRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.327,-69.1988,4,"""Madre De Dios""","""Tambopata""",2
"9","CHORRILLOS","CHORRILLOS","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.606,-69.2852,4,"""Madre De Dios""","""Tambopata""",1
"10","DELTA 1","DELTA 1","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.7748,-70.5217,3,"""Madre De Dios""","""Manu""",1
"11","DOS DE MAYO","DOS DE MAYO","INAMBARI","INAMBARI",TRUE,TRUE,-13.0686,-70.3544,3,"""Madre De Dios""","""Tambopata""",1
"12","EL CASTAÑAL","EL CASTAÑAL","TAMBOPATA","TAMBOPATA",TRUE,FALSE,-12.6342,-69.2607,4,"""Madre De Dios""","""Tambopata""",2
"13","GAMITANA","GAMITANA","TAMBOPATA","LAS PIEDRAS",FALSE,TRUE,-12.4267,-69.0946,4,"""Madre De Dios""","""Tambopata""",3
"14","GUACAMAYO","GUACAMAYO","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.597,-70.253,3,"""Madre De Dios""","""Manu""",1
"15","IBERIA","IBERIA","IBERIA","IBERIA",TRUE,TRUE,-11.35,-69.5833,4,"""Madre De Dios""","""Tahuamanu""",1
"16","IÑAPARI","IÑAPARI","IÑAPARI","IÑAPARI",TRUE,FALSE,-10.95,-69.5833,3,"""Madre De Dios""","""Tahuamanu""",2
"17","JAYAVE","JAYAVE","INAMBARI","INAMBARI",TRUE,TRUE,-12.7809,-69.9632,3,"""Madre De Dios""","""Tambopata""",1
