"","Locality","Place_Name","District","Admin_Name_3","Dist_Adm3","loc_pl","Latitude","Longitude","Accuracy","Admin_Name_1","Admin_Name_2","select_rank"
"1","AGUAS NEGRAS","AGUAS NEGRAS","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6656,-69.4251,4,"""Madre De Dios""","""Tambopata""",1
"2","AGUAS NEGRAS","AGUAS NEGRAS","TAMBOPATA","LAS PIEDRAS",FALSE,TRUE,-12.2586,-69.2008,4,"""Madre De Dios""","""Tambopata""",3
"3","ALEGRIA","BAJO ALEGRIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""",2
"4","ALEGRIA","ALEGRIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.1195,-69.1187,4,"""Madre De Dios""","""Tambopata""",1
"5","ARAZAIRE","ARAZAIRE","INAMBARI","INAMBARI",TRUE,TRUE,-13.0013,-70.3424,3,"""Madre De Dios""","""Tambopata""",1
"6","ARAZAIRE","VILLA SANTIAGO (ARAZAIRE)","INAMBARI","INAMBARI",TRUE,FALSE,-13.0072,-70.3449,3,"""Madre De Dios""","""Tambopata""",2
"7","BAJO MADRE DE DIOS","BAJO MADRE DE DIOS","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.599,-69.1338,4,"""Madre De Dios""","""Tambopata""",1
"8","BAJO MADRE DE DIOS","BAJO ALEGRIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""",2
"9","BAJO MADRE DE DIOS","BAJO PIEDRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.465,-69.2573,4,"""Madre De Dios""","""Tambopata""",2
"10","BAJO PIEDRAS","BAJO ALEGRIA","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""",2
"11","BAJO PIEDRAS","BAJO PIEDRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.465,-69.2573,4,"""Madre De Dios""","""Tambopata""",1
"12","BAJO PIEDRAS","BAJO MADRE DE DIOS","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.599,-69.1338,4,"""Madre De Dios""","""Tambopata""",2
"13","BAJO TAMBOPATA","BAJO TAMBOPATA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6516,-69.2202,4,"""Madre De Dios""","""Tambopata""",1
"14","BAJO TAMBOPATA","BAJO MADRE DE DIOS IZQUIERDA","TAMBOPATA","TAMBOPATA",TRUE,FALSE,-12.6183,-69.1441,3,"""Madre De Dios""","""Tambopata""",2
"15","BAJO TAMBOPATA","BAJO ALEGRIA","TAMBOPATA","LAS PIEDRAS",FALSE,FALSE,-12.0324,-69.0488,4,"""Madre De Dios""","""Tambopata""",4
"16","BAJO TAMBOPATA","BAJO PIEDRAS","TAMBOPATA","LAS PIEDRAS",FALSE,FALSE,-12.465,-69.2573,4,"""Madre De Dios""","""Tambopata""",4
"17","BAJO TAMBOPATA","BAJO MADRE DE DIOS","TAMBOPATA","LAS PIEDRAS",FALSE,FALSE,-12.599,-69.1338,4,"""Madre De Dios""","""Tambopata""",4
"18","BAJO TAMBOPATA","HUACAMAYO BAJO","TAMBOPATA","INAMBARI",FALSE,FALSE,-12.7693,-69.8551,3,"""Madre De Dios""","""Tambopata""",4
"19","BELGICA","ALTO BELGICA","IÑAPARI","IÑAPARI",TRUE,FALSE,-10.9699,-69.75,4,"""Madre De Dios""","""Tahuamanu""",2
"20","BELGICA","BELGICA","IÑAPARI","IÑAPARI",TRUE,TRUE,-10.973,-69.7314,3,"""Madre De Dios""","""Tahuamanu""",1
"21","CENTRO PIEDRAS","CENTRO DE PIEDRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.327,-69.1988,4,"""Madre De Dios""","""Tambopata""",2
"22","CENTRO PIEDRAS","SAN JOSE DE CENTRO PIEDRAS","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.4178,-69.2531,4,"""Madre De Dios""","""Tambopata""",2
"23","CHORRILLOS","CHORRILLOS","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.606,-69.2852,4,"""Madre De Dios""","""Tambopata""",1
"24","CHORRILLOS","ALTO CHORRILLOS","TAMBOPATA","TAMBOPATA",TRUE,FALSE,-12.5869,-69.291,4,"""Madre De Dios""","""Tambopata""",2
"25","DELTA 1","PUKIRI DELTA 1 (CUMBRE)","MADRE DE DIOS","MADRE DE DIOS",TRUE,FALSE,-12.7745,-70.527,3,"""Madre De Dios""","""Manu""",2
"26","DELTA 1","DELTA 1","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.7748,-70.5217,3,"""Madre De Dios""","""Manu""",1
"27","DOS DE MAYO","DOS DE MAYO","INAMBARI","INAMBARI",TRUE,TRUE,-13.0686,-70.3544,3,"""Madre De Dios""","""Tambopata""",1
"28","DOS DE MAYO","ALTO DOS DE MAYO","INAMBARI","INAMBARI",TRUE,FALSE,-13.079,-70.3261,3,"""Madre De Dios""","""Tambopata""",2
"29","EL CASTAÑAL","EL CASTA\U00F1AL","TAMBOPATA","TAMBOPATA",TRUE,FALSE,-12.6342,-69.2607,4,"""Madre De Dios""","""Tambopata""",2
"30","GAMITANA","GAMITANA","TAMBOPATA","LAS PIEDRAS",FALSE,TRUE,-12.4267,-69.0946,4,"""Madre De Dios""","""Tambopata""",3
"31","GUACAMAYO","GUACAMAYO","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.597,-70.253,3,"""Madre De Dios""","""Manu""",1
"32","GUACAMAYO","PACAL GUACAMAYO","MADRE DE DIOS","MADRE DE DIOS",TRUE,FALSE,-12.6075,-70.2981,3,"""Madre De Dios""","""Manu""",2
"33","HUEPETUHE","PUNO","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-13.0215,-70.5003,3,"""Madre De Dios""","""Manu""",2
"34","HUEPETUHE","TRANQUERA (BARRANCO CHICO)","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-12.9326,-70.6008,3,"""Madre De Dios""","""Manu""",2
"35","HUEPETUHE","NUEVA","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-13.0453,-70.5017,3,"""Madre De Dios""","""Manu""",2
"36","HUEPETUHE","BAMBERME","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-13.0075,-70.6585,3,"""Madre De Dios""","""Manu""",2
"37","HUEPETUHE","PUERTO PUNKIRI","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-13.0662,-70.3955,4,"""Madre De Dios""","""Manu""",2
"38","HUEPETUHE","CAYCHIHUE BARRACA","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-13.0354,-70.4282,3,"""Madre De Dios""","""Manu""",2
"39","HUEPETUHE","GUADALUPE","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-13.0397,-70.5241,4,"""Madre De Dios""","""Manu""",2
"40","HUEPETUHE","PADILLA","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-13.0084,-70.5785,4,"""Madre De Dios""","""Manu""",2
"41","HUEPETUHE","TIGRIMAYO","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-12.9847,-70.5795,3,"""Madre De Dios""","""Manu""",2
"42","HUEPETUHE","PRIMAVERA","HUEPETUHE","HUEPETUHE",TRUE,FALSE,-13.0657,-70.5471,3,"""Madre De Dios""","""Manu""",2
"43","IBERIA","IBERIA","IBERIA","IBERIA",TRUE,TRUE,-11.35,-69.5833,4,"""Madre De Dios""","""Tahuamanu""",1
"44","IBERIA","ARROZAL","IBERIA","IBERIA",TRUE,FALSE,-11.2829,-69.4815,4,"""Madre De Dios""","""Tahuamanu""",2
"45","IBERIA","MIRAFLORES","IBERIA","IBERIA",TRUE,FALSE,-11.4409,-69.4199,4,"""Madre De Dios""","""Tahuamanu""",2
"46","IBERIA","CARACHAMAYO","IBERIA","IBERIA",TRUE,FALSE,-11.3056,-69.4862,3,"""Madre De Dios""","""Tahuamanu""",2
"47","IBERIA","GRUPO OCHO","IBERIA","IBERIA",TRUE,FALSE,-11.4011,-69.7202,4,"""Madre De Dios""","""Tahuamanu""",2
"48","IBERIA","CHILINA VIEJA","IBERIA","IBERIA",TRUE,FALSE,-11.2587,-69.592,4,"""Madre De Dios""","""Tahuamanu""",2
"49","IBERIA","LA REPUBLICA","IBERIA","IBERIA",TRUE,FALSE,-11.2596,-69.4929,4,"""Madre De Dios""","""Tahuamanu""",2
"50","IBERIA","MARIA CRISTINA","IBERIA","IBERIA",TRUE,FALSE,-11.3913,-69.5282,3,"""Madre De Dios""","""Tahuamanu""",2
"51","IBERIA","TROPEZON","IBERIA","IBERIA",TRUE,FALSE,-11.3495,-69.4794,4,"""Madre De Dios""","""Tahuamanu""",2
"52","IBERIA","PORTILLO","IBERIA","IBERIA",TRUE,FALSE,-11.433,-69.5839,4,"""Madre De Dios""","""Tahuamanu""",2
"53","IÑAPARI","NOAYA","IÑAPARI","IÑAPARI",TRUE,FALSE,-11.1253,-69.5648,4,"""Madre De Dios""","""Tahuamanu""",2
"54","IÑAPARI","BELGICA","IÑAPARI","IÑAPARI",TRUE,FALSE,-10.973,-69.7314,4,"""Madre De Dios""","""Tahuamanu""",2
"55","IÑAPARI","VILLA PRIMAVERA","IÑAPARI","IÑAPARI",TRUE,FALSE,-11.0417,-69.5732,4,"""Madre De Dios""","""Tahuamanu""",2
"56","IÑAPARI","I\U00F1APARI","IÑAPARI","IÑAPARI",TRUE,FALSE,-10.95,-69.5833,3,"""Madre De Dios""","""Tahuamanu""",2
"57","IÑAPARI","ALTO BELGICA","IÑAPARI","IÑAPARI",TRUE,FALSE,-10.9699,-69.75,4,"""Madre De Dios""","""Tahuamanu""",2
"58","IÑAPARI","NUEVA ESPERANZA","IÑAPARI","IÑAPARI",TRUE,FALSE,-11.0154,-69.6026,4,"""Madre De Dios""","""Tahuamanu""",2
"59","IÑAPARI","SAN ISIDRO DE CHILINA","IÑAPARI","IÑAPARI",TRUE,FALSE,-11.1989,-69.5577,4,"""Madre De Dios""","""Tahuamanu""",2
"60","JAYAVE","JAYAVE","INAMBARI","INAMBARI",TRUE,TRUE,-12.7809,-69.9632,3,"""Madre De Dios""","""Tambopata""",1
"61","JAYAVE","CABECERA JAYAVE","INAMBARI","INAMBARI",TRUE,FALSE,-12.9319,-70.2799,3,"""Madre De Dios""","""Tambopata""",2
"62","LA PASTORA","LA PASTORA","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5774,-69.1907,4,"""Madre De Dios""","""Tambopata""",1
"63","LA PASTORA","PASTORA GRANDE","TAMBOPATA","LABERINTO",FALSE,FALSE,-12.6036,-69.543,3,"""Madre De Dios""","""Tambopata""",4
"64","LA TORRE","LA TORRE","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.8241,-69.3051,4,"""Madre De Dios""","""Tambopata""",1
"65","LA TORRE","VICTOR RAUL HAYA DE LA TORRE","TAMBOPATA","LABERINTO",FALSE,FALSE,-12.7183,-69.4869,4,"""Madre De Dios""","""Tambopata""",4
"66","LOBOYOC","ALTO LOBOYOC","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.4577,-69.1714,4,"""Madre De Dios""","""Tambopata""",2
"67","LOBOYOC","LOBOYOC","LAS PIEDRAS","LAS PIEDRAS",TRUE,TRUE,-12.4577,-69.1714,4,"""Madre De Dios""","""Tambopata""",1
"68","LOERO","LOERO","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.6635,-69.1584,4,"""Madre De Dios""","""Tambopata""",1
"69","LOERO","ALTO LOERO","TAMBOPATA","TAMBOPATA",TRUE,FALSE,-12.6683,-69.2134,4,"""Madre De Dios""","""Tambopata""",2
"70","MALINOSQUI","MALINOSQUI","INAMBARI","INAMBARI",TRUE,TRUE,-13.014,-69.9938,3,"""Madre De Dios""","""Tambopata""",1
"71","MALINOSQUI","MANUANI MALINOSQUI","INAMBARI","INAMBARI",TRUE,FALSE,-12.9856,-70.1129,4,"""Madre De Dios""","""Tambopata""",2
"72","MAMAJAPA","MAMAJAPAC","MANU","MANU",TRUE,FALSE,-12.5728,-71.2197,3,"""Madre De Dios""","""Manu""",2
"73","MAZUKO","PUERTO MAZUKO","INAMBARI","INAMBARI",TRUE,FALSE,-13.091,-70.3911,3,"""Madre De Dios""","""Tambopata""",2
"74","MAZUKO","MAZUKO","INAMBARI","INAMBARI",TRUE,TRUE,-13.1001,-70.3674,3,"""Madre De Dios""","""Tambopata""",1
"75","NUEVO SAN JUAN","NUEVO SAN JUAN","MADRE DE DIOS","MADRE DE DIOS",TRUE,TRUE,-12.6257,-70.2236,3,"""Madre De Dios""","""Manu""",1
"76","NUEVO SAN JUAN","NUEVO SAN JUAN","MADRE DE DIOS","LAS PIEDRAS",FALSE,TRUE,-11.9974,-69.0102,3,"""Madre De Dios""","""Tambopata""",3
"77","PIÑAL","PI\U00F1AL","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.0117,-69.0651,3,"""Madre De Dios""","""Tambopata""",2
"78","RESIDENTES CUZQUEÑOS","RESIDENTES CUZQUE\U00F1OS","LABERINTO","LABERINTO",TRUE,FALSE,-12.7908,-69.5828,3,"""Madre De Dios""","""Tambopata""",2
"79","SAN FRANCISCO","SAN FRANCISCO","TAMBOPATA","TAMBOPATA",TRUE,TRUE,-12.5055,-68.8667,4,"""Madre De Dios""","""Tambopata""",1
"80","SAN FRANCISCO","SAN FRANCISCO DE ASIS","TAMBOPATA","LAS PIEDRAS",FALSE,FALSE,-12.344,-69.1628,4,"""Madre De Dios""","""Tambopata""",4
"81","TRIUNFO (EL TRIUNFO)","RIMAC O PARQUE EL TRIUNFO","LAS PIEDRAS","LAS PIEDRAS",TRUE,FALSE,-12.5881,-69.1668,4,"""Madre De Dios""","""Tambopata""",2
