"","codigo_ibg"
"1","1505502"
"2","1507003"
"3","1507102"
"4","1506161"
"5","5108055"
"6","1500305"
"7","1301704"
"8","1600501"
"9","1300201"
"10","5106802"
"11","1300805"
"12","1300409"
"13","1301951"
"14","1504406"
"15","1302108"
"16","3109303"
"17","1302306"
"18","1302405"
"19","1304104"
"20","1600600"
"21","1302900"
"22","1303007"
"23","1303536"
"24","1100601"
"25","2908101"
"26","5107701"
"27","1600204"
"28","1600279"
"29","1500958"
"30","5107602"
"31","5107750"
"32","5107909"
"33","5106174"
"34","5106307"
"35","5106232"
"36","2107704"
"37","5106109"
"38","1505809"
"39","1506302"
"40","1506351"
"41","1506005"
"42","1506104"
"43","3126208"
"44","1506112"
"45","1506187"
"46","1501105"
"47","1506401"
"48","1506500"
"49","1502608"
"50","5106190"
"51","1506559"
"52","1501782"
"53","5300108"
"54","1501204"
"55","1505551"
"56","1505601"
"57","1502509"
"58","1502806"
"59","1503309"
"60","1506195"
"61","1506203"
"62","1503408"
"63","1501253"
"64","2101772"
"65","1501303"
"66","1505635"
"67","2100550"
"68","2200806"
"69","1503507"
"70","5003207"
"71","2110500"
"72","2100436"
"73","1507474"
"74","5106265"
"75","1506708"
"76","5213103"
"77","5103254"
"78","5103304"
"79","1506807"
"80","5106158"
"81","5000252"
"82","5107883"
"83","1507508"
"84","2101905"
"85","1501709"
"86","2101939"
"87","5107248"
"88","2101970"
"89","5106224"
"90","1507607"
"91","5003256"
"92","1502004"
"93","2104008"
"94","5003306"
"95","1501501"
"96","5106315"
"97","2104099"
"98","5106299"
"99","5106455"
"100","2100402"
"101","2104404"
"102","1501956"
"103","5006408"
"104","1703800"
"105","5007935"
"106","5106653"
"107","1504505"
"108","5100201"
"109","5107743"
"110","5100250"
"111","5100359"
"112","5100409"
"113","5100300"
"114","5100508"
"115","5103957"
"116","5106208"
"117","5100805"
"118","5101001"
"119","5101209"
"120","5101803"
"121","5101852"
"122","5102678"
"123","2112233"
"124","1506583"
"125","1504604"
"126","5101902"
"127","5102603"
"128","5103205"
"129","5106828"
"130","1506609"
"131","5102637"
"132","5103437"
"133","1506906"
"134","5102686"
"135","2105658"
"136","5102694"
"137","5102793"
"138","5102850"
"139","5103056"
"140","5103007"
"141","5103106"
"142","5103353"
"143","5103361"
"144","2107258"
"145","5103379"
"146","5103403"
"147","5103502"
"148","5103601"
"149","5103809"
"150","1507706"
"151","5104104"
"152","5106216"
"153","5103908"
"154","5104500"
"155","5108808"
"156","5107156"
"157","1507755"
"158","1507953"
"159","1507961"
"160","5104807"
"161","5106182"
"162","5104203"
"163","5104526"
"164","5108857"
"165","5104542"
"166","5104559"
"167","5104906"
"168","5105002"
"169","5105176"
"170","5105200"
"171","1507904"
"172","5108956"
"173","5107198"
"174","5105101"
"175","5105234"
"176","5105259"
"177","5105309"
"178","5105622"
"179","5106703"
"180","5105580"
"181","5106273"
"182","1507979"
"183","5106000"
"184","5105606"
"185","5105903"
"186","1502103"
"187","5106778"
"188","2201309"
"189","2204402"
"190","2208551"
"191","2208908"
"192","2209203"
"193","2211209"
"194","1508001"
"195","1508035"
"196","1100106"
"197","1101435"
"198","1100205"
"199","1703826"
"200","1101484"
"201","1100304"
"202","1100262"
"203","5101407"
"204","5101605"
"205","1100379"
"206","1100064"
"207","1100015"
"208","1101476"
"209","1100403"
"210","1100452"
"211","1100031"
"212","1100346"
"213","1100023"
"214","1100700"
"215","1100809"
"216","1100908"
"217","1101450"
"218","1100056"
"219","1100924"
"220","1100072"
"221","1100940"
"222","1101708"
"223","1100098"
"224","1100080"
"225","1101302"
"226","1100502"
"227","5102702"
"228","1502764"
"229","1101005"
"230","1101104"
"231","1101401"
"232","1100114"
"233","1100148"
"234","1504208"
"235","1100288"
"236","1100122"
"237","1100155"
"238","1100130"
"239","1101203"
"240","1100338"
"241","5103700"
"242","5103858"
"243","1100189"
"244","1100254"
"245","1101468"
"246","1100296"
"247","5105150"
"248","1101500"
"249","1101559"
"250","1101492"
"251","1101609"
"252","1101757"
"253","1101807"
"254","1400159"
"255","1400605"
"256","1400175"
"257","1400233"
"258","1400282"
"259","1400308"
"260","1400407"
"261","1400456"
"262","1400704"
"263","5106240"
"264","5106505"
"265","5100607"
"266","1504059"
"267","1505031"
"268","2112274"
"269","1505437"
"270","5107925"
"271","5101258"
"272","1500602"
"273","5103452"
"274","1500859"
"275","5101308"
"276","5101704"
"277","1501907"
"278","5100102"
"279","1502400"
"280","1503457"
"281","1507300"
"282","1503002"
"283","5102504"
"284","1502756"
"285","1503200"
"286","1505106"
"287","1504109"
"288","5104609"
"289","1507805"
"290","1504976"
"291","1507151"
"292","1504307"
"293","1505007"
"294","1501451"
"295","1505403"
"296","1500701"
"297","1500800"
"298","1501576"
"299","1500107"
"300","1500131"
"301","1501600"
"302","1703891"
"303","1505304"
"304","1508050"
"305","1508084"
"306","1508100"
"307","1508126"
"308","1720309"
"309","1508159"
"310","1508209"
"311","1508308"
"312","1508357"
"313","1508407"
"314","1301209"
"315","1400050"
"316","1400027"
"317","1400209"
"318","1400472"
"319","1304302"
"320","1701002"
"321","1701051"
"322","1100320"
"323","1717909"
"324","1303502"
"325","1200013"
"326","1300904"
"327","1700251"
"328","1700301"
"329","1700350"
"330","1700400"
"331","1700707"
"332","1701101"
"333","1701309"
"334","1701903"
"335","1702000"
"336","1702307"
"337","1702901"
"338","1702208"
"339","1303809"
"340","1702703"
"341","1702109"
"342","1712454"
"343","1702158"
"344","1703008"
"345","1703206"
"346","1715507"
"347","1702406"
"348","1702554"
"349","1705557"
"350","1703057"
"351","1703073"
"352","1703107"
"353","1703305"
"354","1703602"
"355","1703701"
"356","1717206"
"357","1703842"
"358","1703867"
"359","1703883"
"360","1703909"
"361","1705508"
"362","1704105"
"363","1713957"
"364","1705102"
"365","1704600"
"366","1716703"
"367","1705607"
"368","1706001"
"369","1707702"
"370","1706100"
"371","1706258"
"372","1706506"
"373","1712157"
"374","1711100"
"375","1707009"
"376","1707108"
"377","1707652"
"378","1707207"
"379","1713304"
"380","1707306"
"381","1707405"
"382","1708205"
"383","1708254"
"384","1708304"
"385","1709302"
"386","1709005"
"387","1712801"
"388","1709500"
"389","1709807"
"390","1710904"
"391","1710508"
"392","1710706"
"393","1711506"
"394","1711803"
"395","1721307"
"396","1711902"
"397","1711951"
"398","1712009"
"399","1722081"
"400","1712405"
"401","1712504"
"402","1719004"
"403","1713205"
"404","1720002"
"405","1712702"
"406","1713601"
"407","1713700"
"408","1713809"
"409","1714203"
"410","1714302"
"411","1718865"
"412","1714880"
"413","1715002"
"414","1721000"
"415","1715101"
"416","1715150"
"417","1720655"
"418","1715259"
"419","1715705"
"420","1720804"
"421","1716653"
"422","1715754"
"423","1716109"
"424","1718451"
"425","1716307"
"426","1716505"
"427","1718709"
"428","1716208"
"429","1717008"
"430","1717800"
"431","1716604"
"432","1717503"
"433","1718006"
"434","1720853"
"435","1718881"
"436","1718204"
"437","1718303"
"438","1718402"
"439","1718501"
"440","1718550"
"441","1718659"
"442","1718758"
"443","1718808"
"444","1718840"
"445","1718899"
"446","1718907"
"447","1720101"
"448","1720150"
"449","1720200"
"450","1721257"
"451","1720259"
"452","1722107"
"453","1720499"
"454","1720903"
"455","1720937"
"456","1720978"
"457","1721109"
"458","1721208"
"459","1100049"
"460","1400506"
"461","1400100"
"462","1200138"
"463","1200252"
"464","1200104"
"465","1200179"
"466","1200328"
"467","1200054"
"468","1200336"
"469","1200344"
"470","1200203"
"471","1200302"
"472","1200351"
"473","1200385"
"474","1200807"
"475","1200393"
"476","1200427"
"477","1200401"
"478","1200450"
"479","1200435"
"480","1200500"
"481","1200609"
"482","1200708"
"483","2101350"
"484","1300029"
"485","1300060"
"486","1300086"
"487","1300680"
"488","1300102"
"489","1301654"
"490","1300144"
"491","1301852"
"492","1300300"
"493","1300508"
"494","1300631"
"495","1300607"
"496","1300706"
"497","1303601"
"498","1300839"
"499","1301001"
"500","1302553"
"501","1301100"
"502","1301159"
"503","1301308"
"504","1301407"
"505","1301506"
"506","1301803"
"507","1301605"
"508","1301902"
"509","1304005"
"510","1302009"
"511","1302504"
"512","1302207"
"513","1304062"
"514","1302603"
"515","1302702"
"516","1303403"
"517","1302801"
"518","1303106"
"519","1303205"
"520","1303304"
"521","1303569"
"522","1303700"
"523","1304401"
"524","1303908"
"525","1303957"
"526","1304237"
"527","1304203"
"528","1304260"
"529","1600212"
"530","1600105"
"531","1600238"
"532","1600253"
"533","1600550"
"534","1600303"
"535","1600402"
"536","1600709"
"537","1600154"
"538","1600535"
"539","1600055"
"540","1600808"
"541","2903201"
"542","2909307"
"543","2911105"
"544","5200258"
"545","2917359"
"546","5204409"
"547","2919553"
"548","5208004"
"549","2928901"
"550","5219506"
"551","5201702"
"552","5200159"
"553","5200175"
"554","5200555"
"555","5200605"
"556","5200852"
"557","5201108"
"558","5200803"
"559","5200829"
"560","5200902"
"561","5203962"
"562","5202155"
"563","5210604"
"564","5202353"
"565","5202601"
"566","5203104"
"567","5203203"
"568","5202502"
"569","5204953"
"570","5203401"
"571","5203575"
"572","5203807"
"573","5203939"
"574","5204706"
"575","5204656"
"576","5205000"
"577","5210000"
"578","5204904"
"579","5209606"
"580","5205513"
"581","1503754"
"582","5205307"
"583","5205406"
"584","5205521"
"585","5205703"
"586","5205802"
"587","5206701"
"588","5206800"
"589","5206404"
"590","5207105"
"591","5208301"
"592","5207501"
"593","5209291"
"594","5207253"
"595","5107859"
"596","5207535"
"597","5207600"
"598","5207808"
"599","5208608"
"600","5207907"
"601","5208103"
"602","5209457"
"603","5208905"
"604","5209408"
"605","5209804"
"606","5210208"
"607","5215207"
"608","5209903"
"609","5212055"
"610","5210158"
"611","5210307"
"612","5210406"
"613","5210562"
"614","5210901"
"615","5211008"
"616","5211206"
"617","5216809"
"618","5212006"
"619","5211404"
"620","5211800"
"621","5211602"
"622","5212204"
"623","2102150"
"624","5212709"
"625","5212808"
"626","5212956"
"627","5213400"
"628","5213053"
"629","5213087"
"630","5213509"
"631","5213855"
"632","5213905"
"633","5213707"
"634","5213756"
"635","5213772"
"636","5214002"
"637","5214051"
"638","5214705"
"639","5214101"
"640","5214861"
"641","5214606"
"642","5214838"
"643","5214879"
"644","5214903"
"645","5215256"
"646","5215405"
"647","5215603"
"648","5215652"
"649","5216403"
"650","5217302"
"651","5216908"
"652","5220280"
"653","5218102"
"654","2105104"
"655","5217203"
"656","5217609"
"657","5218904"
"658","5219001"
"659","5218300"
"660","5219258"
"661","5218003"
"662","5218607"
"663","5218706"
"664","5219357"
"665","2104552"
"666","5220108"
"667","5219605"
"668","5219407"
"669","5219456"
"670","5220157"
"671","5219704"
"672","5219803"
"673","5219902"
"674","5220009"
"675","5220058"
"676","5220207"
"677","5220686"
"678","5220702"
"679","5221007"
"680","5221080"
"681","5221452"
"682","5221577"
"683","5221601"
"684","5221700"
"685","5222203"
"686","2100477"
"687","2101301"
"688","5222302"
"689","2100832"
"690","2100055"
"691","2106375"
"692","2100204"
"693","2100501"
"694","5204201"
"695","2100873"
"696","2104602"
"697","2100600"
"698","2100709"
"699","2104503"
"700","2104677"
"701","2100956"
"702","2101004"
"703","2101103"
"704","2104701"
"705","2101202"
"706","2101251"
"707","2104909"
"708","2102309"
"709","2102358"
"710","2101400"
"711","2101608"
"712","2102325"
"713","2101806"
"714","2105153"
"715","2102036"
"716","2102077"
"717","2102002"
"718","2105203"
"719","2102374"
"720","2102408"
"721","2104628"
"722","2102507"
"723","2102556"
"724","2102903"
"725","2104651"
"726","2102606"
"727","2102705"
"728","2102754"
"729","2102804"
"730","2103109"
"731","2103125"
"732","2103158"
"733","2109452"
"734","2103174"
"735","2103257"
"736","2103307"
"737","2103802"
"738","2110658"
"739","2103505"
"740","2103554"
"741","2103604"
"742","2103752"
"743","2104057"
"744","2104073"
"745","2105005"
"746","2104081"
"747","2104107"
"748","2104206"
"749","2104305"
"750","2104800"
"751","2105302"
"752","2105351"
"753","2105401"
"754","2105500"
"755","2105427"
"756","2105450"
"757","2105476"
"758","2105609"
"759","2105963"
"760","2105708"
"761","2105807"
"762","2105948"
"763","2105906"
"764","2105989"
"765","2106003"
"766","2106102"
"767","2106201"
"768","2106326"
"769","2106359"
"770","2106508"
"771","2106631"
"772","2107209"
"773","2106904"
"774","2107357"
"775","2106706"
"776","2106755"
"777","2106805"
"778","2107001"
"779","2107100"
"780","2107308"
"781","2107407"
"782","2107456"
"783","2107506"
"784","2107605"
"785","2111201"
"786","2110203"
"787","2107902"
"788","2108009"
"789","2108108"
"790","2108207"
"791","2108256"
"792","2108306"
"793","2108405"
"794","2108504"
"795","2109106"
"796","2108603"
"797","2108702"
"798","2108801"
"799","2108900"
"800","2111672"
"801","2109007"
"802","2109056"
"803","2111904"
"804","2109205"
"805","2109239"
"806","2109270"
"807","2109304"
"808","2109601"
"809","2109502"
"810","2109551"
"811","2109700"
"812","2109759"
"813","2109809"
"814","2109908"
"815","2110302"
"816","2110005"
"817","2110708"
"818","2110807"
"819","2110856"
"820","2111003"
"821","2111029"
"822","2111052"
"823","2111078"
"824","2111250"
"825","2111300"
"826","2111409"
"827","2111508"
"828","2111532"
"829","2111573"
"830","2111763"
"831","2111607"
"832","2111631"
"833","2111706"
"834","2111722"
"835","2111748"
"836","2111789"
"837","2111805"
"838","2112001"
"839","2112100"
"840","2112308"
"841","2112704"
"842","2112456"
"843","2112803"
"844","2112852"
"845","2112407"
"846","2112902"
"847","2113009"
"848","2114007"
"849","5108907"
"850","5106257"
"851","5106281"
"852","5106372"
"853","5106422"
"854","5106752"
"855","5107206"
"856","5106851"
"857","5108352"
"858","5107008"
"859","5107040"
"860","5107065"
"861","5107578"
"862","1502202"
"863","5107180"
"864","5108402"
"865","5107768"
"866","5107792"
"867","5107776"
"868","5107263"
"869","5107800"
"870","5107107"
"871","5107297"
"872","5107305"
"873","5107354"
"874","5107404"
"875","5107875"
"876","5107941"
"877","5108006"
"878","5108105"
"879","5107958"
"880","5108501"
"881","1502152"
"882","5108204"
"883","5108303"
"884","5105507"
"885","5108600"
"886","1500206"
"887","1500909"
"888","1500347"
"889","1504422"
"890","1500404"
"891","1500503"
"892","1501006"
"893","1501402"
"894","1501808"
"895","1502301"
"896","1501725"
"897","1501758"
"898","1502707"
"899","1502772"
"900","1502855"
"901","1502905"
"902","1507201"
"903","1502939"
"904","1502954"
"905","1503903"
"906","1503044"
"907","1503077"
"908","1504000"
"909","1503093"
"910","1503101"
"911","1503705"
"912","1503804"
"913","1504950"
"914","1504455"
"915","1507409"
"916","1504901"
"917","1504703"
"918","1503606"
"919","1504802"
"920","1505064"
"921","1505205"
"922","1505486"
"923","1505494"
"924","1505536"
"925","1507458"
"926","1505908"
"927","1505700"
"928","1505650"
"929","1507466"
"930","1707553"
"931","5204854"
"932","2103703"
"933","2108454"
"934","2110039"
"935","1506138"
