"","MPIOS"
"1","99001"
"2","99524"
"3","99624"
"4","99773"
"5","50568"
"6","50573"
"7","94001"
"8","50223"
"9","50689"
"10","41206"
"11","94886"
"12","50270"
"13","94343"
"14","50370"
"15","50400"
"16","50251"
"17","50313"
"18","50330"
"19","50287"
"20","50577"
"21","50325"
"22","50683"
"23","41078"
"24","41001"
"25","50711"
"26","41799"
"27","50590"
"28","94884"
"29","18753"
"30","41615"
"31","95001"
"32","50450"
"33","41132"
"34","41020"
"35","50350"
"36","41349"
"37","41306"
"38","94883"
"39","19760"
"40","19585"
"41","41013"
"42","18592"
"43","94887"
"44","41548"
"45","41298"
"46","19392"
"47","18247"
"48","95025"
"49","41791"
"50","41503"
"51","19397"
"52","18001"
"53","41660"
"54","41319"
"55","41668"
"56","41026"
"57","41359"
"58","19100"
"59","41244"
"60","97777"
"61","41770"
"62","19693"
"63","41807"
"64","19022"
"65","95015"
"66","19450"
"67","41551"
"68","19701"
"69","41006"
"70","18256"
"71","95200"
"72","41530"
"73","18410"
"74","18094"
"75","19290"
"76","52693"
"77","97161"
"78","52203"
"79","52399"
"80","52687"
"81","94885"
"82","97001"
"83","52378"
"84","52083"
"85","18479"
"86","52694"
"87","52685"
"88","52019"
"89","52051"
"90","19533"
"91","18610"
"92","52240"
"93","52258"
"94","52110"
"95","52381"
"96","18150"
"97","86001"
"98","52683"
"99","18860"
"100","18460"
"101","18029"
"102","52001"
"103","86755"
"104","52207"
"105","86749"
"106","18205"
"107","52885"
"108","86219"
"109","18756"
"110","52788"
"111","86760"
"112","52354"
"113","52287"
"114","18785"
"115","52506"
"116","86885"
"117","97889"
"118","86571"
"119","52352"
"120","52585"
"121","52323"
"122","86320"
"123","52210"
"124","52573"
"125","52215"
"126","52356"
"127","52560"
"128","97511"
"129","86569"
"130","86573"
"131","86568"
"132","86865"
"133","86757"
"134","91460"
"135","97666"
"136","91669"
"137","91405"
"138","91407"
"139","91263"
"140","91798"
"141","91001"
"142","91540"
"143","94663"
"144","94888"
"145","91430"
"146","91536"
"147","91530"
"148","52480"
"149","19785"
