"","IDDIST"
"1","100902"
"2","100904"
"3","250305"
"4","250302"
"5","250304"
"6","250301"
"7","250303"
"8","100901"
"9","250106"
"10","250102"
"11","160601"
"12","040506"
"13","040509"
"14","040513"
"15","040518"
"16","040510"
"17","030607"
"18","100502"
"19","020305"
"20","020301"
"21","022001"
"22","100403"
"23","020701"
"24","020303"
"25","021201"
"26","021603"
"27","080805"
"28","080801"
"29","040806"
"30","040804"
"31","080808"
"32","040603"
"33","080806"
"34","101104"
"35","100323"
"36","021710"
"37","101004"
"38","100201"
"39","060103"
"40","130301"
"41","220601"
"42","061007"
"43","220405"
"44","220403"
"45","060305"
"46","100316"
"47","020108"
"48","021010"
"49","100701"
"50","090613"
"51","210308"
"52","081202"
"53","030204"
"54","040504"
"55","040516"
"56","020402"
"57","021901"
"58","101102"
"59","020504"
"60","100301"
"61","101106"
"62","100307"
"63","100313"
"64","100508"
"65","021015"
"66","020105"
"67","100506"
"68","040409"
"69","080807"
"70","040404"
"71","210803"
"72","040505"
"73","210602"
"74","040805"
"75","210805"
"76","100103"
"77","100802"
"78","250103"
"79","190308"
"80","100905"
"81","220704"
"82","010103"
"83","220710"
"84","220702"
"85","060304"
"86","060415"
"87","060601"
"88","220303"
"89","010515"
"90","010504"
"91","010603"
"92","021016"
"93","100505"
"94","021006"
"95","020304"
"96","190113"
"97","190208"
"98","190203"
"99","060812"
"100","010514"
"101","220509"
"102","220909"
"103","060416"
"104","090507"
"105","090503"
"106","090705"
"107","021008"
"108","250204"
"109","060201"
"110","160603"
"111","090103"
"112","090510"
"113","090106"
"114","080404"
"115","090411"
"116","150705"
"117","080706"
"118","080804"
"119","080704"
"120","030710"
"121","080508"
"122","210806"
"123","030402"
"124","030712"
"125","030706"
"126","210302"
"127","080606"
"128","030506"
"129","080204"
"130","030211"
"131","090207"
"132","090204"
"133","090405"
"134","090711"
"135","120116"
"136","210304"
"137","081301"
"138","080401"
"139","010501"
"140","060607"
"141","060411"
"142","220507"
"143","060303"
"144","060403"
"145","060404"
"146","220603"
"147","220304"
"148","220914"
"149","100110"
"150","100102"
"151","190304"
"152","101108"
"153","101105"
"154","100101"
"155","120130"
"156","090306"
"157","090307"
"158","090308"
"159","090401"
"160","090203"
"161","090201"
"162","080901"
"163","151019"
"164","090118"
"165","120402"
"166","081001"
"167","210307"
"168","081005"
"169","030201"
"170","030213"
"171","081201"
"172","030215"
"173","081009"
"174","120208"
"175","120129"
"176","120117"
"177","120213"
"178","120212"
"179","211204"
"180","030707"
"181","030410"
"182","211201"
"183","030417"
"184","211207"
"185","030412"
"186","030306"
"187","030413"
"188","080607"
"189","080705"
"190","030504"
"191","030210"
"192","030302"
"193","080608"
"194","120706"
"195","150602"
"196","170302"
"197","080914"
"198","120707"
"199","120306"
"200","120699"
"201","120807"
"202","150610"
"203","120305"
"204","170101"
"205","050404"
"206","050403"
"207","050508"
"208","080907"
"209","080910"
"210","030604"
"211","050511"
"212","050407"
"213","050406"
"214","050408"
"215","050502"
"216","050509"
"217","050504"
"218","050501"
"219","050510"
"220","050409"
"221","100106"
"222","190303"
"223","190305"
"224","190306"
"225","100801"
"226","100804"
"227","220913"
"228","220902"
"229","010110"
"230","060703"
"231","131104"
"232","130908"
"233","060203"
"234","130303"
"235","220602"
"236","010520"
"237","010518"
"238","010705"
"239","060802"
"240","060811"
"241","060904"
"242","120201"
"243","090511"
"244","090104"
"245","090108"
"246","090113"
"247","080106"
"248","030207"
"249","090615"
"250","080108"
"251","081210"
"252","120909"
"253","120908"
"254","120119"
"255","120906"
"256","090714"
"257","220104"
"258","010604"
"259","010109"
"260","010605"
"261","160113"
"262","160101"
"263","010206"
"264","010118"
"265","060612"
"266","010607"
"267","010101"
"268","060605"
"269","010508"
"270","220510"
"271","120215"
"272","120404"
"273","120434"
"274","120414"
"275","020306"
"276","021003"
"277","020302"
"278","100507"
"279","010112"
"280","010507"
"281","220912"
"282","060405"
"283","060412"
"284","060610"
"285","060614"
"286","010506"
"287","010108"
"288","220911"
"289","010612"
"290","220506"
"291","060613"
"292","010105"
"293","010303"
"294","220801"
