system:index,MuniCode,max,mean,min,variance,.geo
00000000000000000000,010103,4196,2318.714805788731,817,685761.8523669047,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000001,010110,4227,3365.2788323810687,2067,178363.40364897263,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000002,010109,3714,2917.3293726147963,1888,173778.73809352925,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000003,010118,2927,2351.0226040016314,1946,57348.15957307139,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000004,010101,3407,2431.6927347625096,1601,153666.41521851913,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000005,010112,3523,2703.1980397920083,1763,179168.22965129293,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000006,010108,2733,2227.73257151622,1469,112611.13637129829,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000007,010105,3629,2652.1784460643858,1844,128687.76583923241,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000008,010102,3445,2833.9215910246194,2149,107571.68543477221,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009,010116,4007,3157.9327671523906,2149,160022.2407278892,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a,010104,3469,2531.166116973514,2091,98950.19064338859,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000b,010107,3945,3377.728472015051,2715,74827.61390475623,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000c,010117,3650,3077.533186618603,2242,104819.91450913182,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d,010106,4226,2766.513817404389,869,841962.7583621166,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000e,010111,3495,2742.393564769956,1729,236040.43455934097,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000f,010114,3692,2761.4386665384745,2021,119624.03325925973,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000010,010121,2879,2399.1191862179476,1560,67402.96170209286,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000011,010119,3525,2854.0576505791487,1825,101088.63738496482,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000012,010120,3495,2930.0599677703563,2094,88440.75349447313,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013,010115,3768,2835.2082046309147,2046,151546.9406253626,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014,010113,3795,2900.5795514884776,1964,181022.9097547314,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000015,010206,2509,1078.7174731467069,435,218011.75057883485,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016,010201,1528,598.4929503449537,353,58850.188957782135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017,010204,942,660.9965784095345,515,6413.556857638915,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018,010203,3359,1310.1360490163433,399,638323.0755985231,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019,010202,3464,1255.9792041478593,315,360283.70299089234,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a,010205,3434,909.8958957417639,210,230528.42617212958,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b,010303,2803,2220.2837565946866,1340,226826.69002561097,"{""type"":""MultiPoint"",""coordinates"":[]}"
