LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2010
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"110001 Alta Floresta D'Oeste";2;-;5;4;1;-;2;2;5;6;6;2;35
"110037 Alto Alegre dos Parecis";2;1;-;1;-;-;4;2;4;1;3;1;19
"110040 Alto Paraíso";-;-;2;-;1;-;1;-;-;-;-;-;4
"110034 Alvorada D'Oeste";2;-;-;-;-;-;-;1;2;-;2;-;7
"110002 Ariquemes";3;1;5;5;1;8;3;6;4;1;4;4;45
"110045 Buritis";3;-;7;1;1;-;3;4;1;2;11;8;41
"110003 Cabixi";-;1;1;-;1;-;-;-;-;-;-;-;3
"110060 Cacaulândia";-;-;1;-;1;-;-;2;1;1;-;2;8
"110004 Cacoal";2;3;5;-;5;3;-;1;6;2;2;4;33
"110070 Campo Novo de Rondônia";1;1;-;1;-;1;1;1;4;2;3;1;16
"110080 Candeias do Jamari";-;-;-;1;-;-;-;-;1;1;-;-;3
"110090 Castanheiras";-;-;-;-;-;-;-;-;1;-;-;-;1
"110005 Cerejeiras";-;-;-;1;-;-;-;-;-;1;-;-;2
"110092 Chupinguaia";3;2;1;1;-;2;1;7;1;3;2;2;25
"110006 Colorado do Oeste";3;1;1;1;3;-;-;1;-;2;1;1;14
"110007 Corumbiara";1;3;-;-;1;-;-;-;2;3;-;2;12
"110008 Costa Marques";1;4;5;4;6;2;4;6;1;3;7;4;47
"110094 Cujubim";3;3;7;7;2;2;2;6;2;5;5;8;52
"110009 Espigão D'Oeste";1;4;3;3;5;1;4;4;7;6;3;4;45
"110100 Governador Jorge Teixeira";-;-;1;1;-;1;-;2;-;-;2;1;8
"110010 Guajará-Mirim";1;1;-;1;4;1;2;1;1;1;2;-;15
"110110 Itapuã do Oeste";1;-;-;-;-;2;2;-;3;-;-;-;8
"110011 Jaru";3;-;1;1;1;-;-;3;1;-;3;1;14
"110012 Ji-Paraná";-;2;-;-;-;3;1;1;1;-;-;-;8
"110013 Machadinho D'Oeste";-;2;-;-;-;3;2;-;1;4;2;5;19
"110120 Ministro Andreazza";-;1;-;-;-;-;-;-;-;1;1;-;3
"110130 Mirante da Serra";-;-;3;-;1;-;1;2;3;1;-;-;11
"110140 Monte Negro";1;1;-;2;1;-;3;1;3;2;2;2;18
"110014 Nova Brasilândia D'Oeste";-;-;1;1;1;-;-;1;4;9;3;-;20
"110033 Nova Mamoré";1;-;-;3;5;3;2;3;3;3;1;1;25
"110143 Nova União";1;-;-;-;-;1;-;-;-;-;-;-;2
"110050 Novo Horizonte do Oeste";-;1;1;-;-;1;1;3;-;-;1;2;10
"110015 Ouro Preto do Oeste";-;-;-;1;-;-;1;-;2;-;-;1;5
"110145 Parecis";-;-;2;2;-;1;-;1;-;2;2;2;12
"110018 Pimenta Bueno";1;2;2;4;4;2;5;3;3;2;3;-;31
"110146 Pimenteiras do Oeste";-;-;1;-;-;-;-;-;-;-;-;1;2
"110020 Porto Velho";4;3;7;6;8;10;7;9;3;14;4;2;77
"110025 Presidente Médici";-;-;1;1;1;-;1;-;1;1;1;-;7
"110147 Primavera de Rondônia";-;1;-;1;-;1;-;-;-;-;-;-;3
"110026 Rio Crespo";1;-;-;-;-;1;-;1;-;1;-;-;4
"110028 Rolim de Moura";-;6;4;-;1;-;2;2;-;1;6;-;22
"110029 Santa Luzia D'Oeste";1;-;-;1;-;-;-;-;-;2;-;1;5
"110148 São Felipe D'Oeste";1;-;-;-;1;-;-;-;-;-;2;-;4
"110149 São Francisco do Guaporé";1;2;2;5;1;3;2;-;1;1;1;-;19
"110032 São Miguel do Guaporé";3;2;1;-;-;1;2;-;1;-;1;2;13
"110150 Seringueiras";-;-;1;2;-;1;-;1;-;1;-;1;7
"110160 Theobroma";-;-;3;-;-;3;-;3;-;-;-;-;9
"110170 Urupá";-;-;-;-;-;-;-;-;-;2;1;-;3
"110175 Vale do Anari";1;1;1;-;4;-;1;-;1;-;2;-;11
"110180 Vale do Paraíso";1;-;1;-;-;-;-;-;-;1;1;-;4
"110030 Vilhena";5;8;12;11;14;9;12;11;10;7;3;1;103
"110000 Município ignorado - RO";-;-;-;-;-;-;-;-;-;1;-;-;1
"120001 Acrelândia";-;-;-;-;1;4;1;2;1;-;2;-;11
"120005 Assis Brasil";3;10;10;6;5;5;7;5;7;-;-;1;59
"120010 Brasiléia";6;6;13;9;4;10;12;7;10;1;4;2;84
"120013 Bujari";2;4;3;6;5;3;4;4;3;2;2;-;38
"120017 Capixaba";5;5;2;4;3;8;2;3;5;2;3;2;44
"120020 Cruzeiro do Sul";2;1;1;1;3;-;5;2;1;1;2;3;22
"120025 Epitaciolândia";1;3;4;1;3;1;1;2;6;2;1;3;28
"120030 Feijó";3;6;4;6;4;2;4;4;5;5;6;4;53
"120032 Jordão";1;3;1;1;-;1;-;1;2;1;1;-;12
"120033 Mâncio Lima";1;3;4;-;2;2;2;4;1;3;1;2;25
"120034 Manoel Urbano";1;1;-;3;5;-;-;1;6;1;2;3;23
"120035 Marechal Thaumaturgo";2;2;1;2;2;6;3;1;1;3;2;-;25
"120038 Plácido de Castro";-;3;5;4;3;1;1;2;3;2;3;3;30
"120080 Porto Acre";3;1;5;1;1;-;3;5;3;2;1;-;25
"120039 Porto Walter";-;1;1;-;-;1;-;-;-;-;-;-;3
"120040 Rio Branco";28;17;9;17;7;16;11;25;18;17;14;5;184
"120042 Rodrigues Alves";-;1;1;-;1;-;-;-;1;-;-;1;5
"120043 Santa Rosa do Purus";1;-;-;2;1;-;-;-;-;-;-;-;4
"120050 Sena Madureira";8;10;6;13;14;15;9;8;17;18;8;8;134
"120045 Senador Guiomard";3;1;1;1;1;-;2;1;-;5;1;-;16
"120060 Tarauacá";2;2;-;3;3;2;4;7;5;3;1;1;33
"120070 Xapuri";14;13;15;12;14;19;13;18;16;11;4;5;154
"130002 Alvarães";-;-;-;-;-;-;1;-;-;-;-;-;1
"130010 Anori";-;-;1;-;-;-;1;-;1;-;-;-;3
"130014 Apuí";-;1;1;4;2;1;2;1;-;-;2;-;14
"130020 Atalaia do Norte";1;2;-;1;-;-;-;-;-;-;-;-;4
"130030 Autazes";-;-;-;-;-;-;-;1;-;1;-;1;3
"130040 Barcelos";1;2;2;-;2;-;4;3;-;1;-;-;15
"130050 Barreirinha";-;-;-;1;-;-;-;-;1;-;2;-;4
"130068 Boa Vista do Ramos";-;-;-;-;-;-;-;1;-;-;-;-;1
"130070 Boca do Acre";3;1;2;6;3;-;9;6;3;-;4;-;37
"130080 Borba";3;1;-;-;1;1;-;-;1;-;-;1;8
"130090 Canutama";1;-;-;-;1;5;4;-;2;1;-;1;15
"130100 Carauari";-;-;2;1;1;1;1;-;-;-;-;-;6
"130110 Careiro";-;-;-;-;-;-;-;-;1;1;-;-;2
"130120 Coari";35;31;43;24;22;14;15;9;8;18;15;13;247
"130130 Codajás";-;-;-;-;-;-;-;-;-;-;1;-;1
"130140 Eirunepé";3;4;1;2;2;1;4;3;1;4;4;2;31
"130150 Envira";2;2;-;-;-;1;1;-;1;-;5;1;13
"130160 Fonte Boa";-;-;-;-;1;-;-;-;-;-;-;-;1
"130165 Guajará";1;-;1;1;-;2;-;1;2;2;-;1;11
"130170 Humaitá";6;4;9;8;4;6;2;3;1;4;1;4;52
"130180 Ipixuna";2;2;-;4;2;2;1;1;-;1;-;3;18
"130185 Iranduba";-;-;-;-;-;1;-;-;-;-;-;-;1
"130190 Itacoatiara";2;-;2;-;1;1;1;-;-;3;2;1;13
"130195 Itamarati";-;-;-;1;-;1;-;-;-;-;-;-;2
"130200 Itapiranga";-;-;1;-;1;-;-;1;-;-;-;-;3
"130220 Juruá";1;-;-;-;-;-;-;-;-;-;-;-;1
"130240 Lábrea";4;3;1;5;7;10;7;8;4;7;1;6;63
"130250 Manacapuru";-;-;4;2;1;2;-;1;1;1;-;-;12
"130255 Manaquiri";1;1;-;-;-;-;-;-;-;-;-;-;2
"130260 Manaus";21;16;10;10;11;6;4;2;4;5;20;27;136
"130270 Manicoré";1;-;2;-;-;-;3;4;1;-;2;2;15
"130280 Maraã";-;-;-;-;1;-;1;-;-;-;-;-;2
"130290 Maués";2;4;2;1;-;2;2;3;-;3;2;-;21
"130300 Nhamundá";-;-;-;-;-;-;1;1;-;1;-;-;3
"130310 Nova Olinda do Norte";-;-;-;-;-;-;-;-;-;-;1;-;1
"130320 Novo Airão";2;-;-;1;-;1;3;1;1;-;-;-;9
"130330 Novo Aripuanã";-;4;3;1;-;2;1;-;1;-;1;-;13
"130340 Parintins";-;-;-;-;1;-;-;-;1;-;-;-;2
"130350 Pauini";-;-;2;-;3;4;1;3;1;-;1;2;17
"130353 Presidente Figueiredo";42;24;24;32;16;14;7;4;2;6;8;13;192
"130356 Rio Preto da Eva";41;31;14;11;2;6;2;4;2;2;22;20;157
