metric,class,Metric_Name
ta,,Muni_TotalArea
pland,0,pland_background
pland,3,pland_forest
pland,4,pland_savanna
pland,5,pland_mangrove
pland,6,pland_floodedforest
pland,10,pland_nonforest
pland,11,pland_wetland
pland,12,pland_grassland
pland,13,pland_othernonforest
pland,14,pland_farming
pland,22,pland_nonveg
pland,24,pland_urban
pland,25,pland_othernonveg
pland,27,pland_nonobserv
pland,29,pland_outcrop
pland,30,pland_mining
pland,32,pland_saltflat
pland,33,pland_riverlakeocean
pland,34,pland_glacier
area_mn,0,area_mn_background
area_mn,3,area_mn_forest
area_mn,4,area_mn_savanna
area_mn,5,area_mn_mangrove
area_mn,6,area_mn_floodedforest
area_mn,10,area_mn_nonforest
area_mn,11,area_mn_wetland
area_mn,12,area_mn_grassland
area_mn,13,area_mn_othernonforest
area_mn,14,area_mn_farming
area_mn,22,area_mn_nonveg
area_mn,24,area_mn_urban
area_mn,25,area_mn_othernonveg
area_mn,27,area_mn_nonobserv
area_mn,29,area_mn_outcrop
area_mn,30,area_mn_mining
area_mn,32,area_mn_saltflat
area_mn,33,area_mn_riverlakeocean
area_mn,34,area_mn_glacier
te,0,te_background
te,3,te_forest
te,4,te_savanna
te,5,te_mangrove
te,6,te_floodedforest
te,10,te_nonforest
te,11,te_wetland
te,12,te_grassland
te,13,te_othernonforest
te,14,te_farming
te,22,te_nonveg
te,24,te_urban
te,25,te_othernonveg
te,27,te_nonobserv
te,29,te_outcrop
te,30,te_mining
te,32,te_saltflat
te,33,te_riverlakeocean
te,34,te_glacier
enn_mn,0,enn_mn_background
enn_mn,3,enn_mn_forest
enn_mn,4,enn_mn_savanna
enn_mn,5,enn_mn_mangrove
enn_mn,6,enn_mn_floodedforest
enn_mn,10,enn_mn_nonforest
enn_mn,11,enn_mn_wetland
enn_mn,12,enn_mn_grassland
enn_mn,13,enn_mn_othernonforest
enn_mn,14,enn_mn_farming
enn_mn,22,enn_mn_nonveg
enn_mn,24,enn_mn_urban
enn_mn,25,enn_mn_othernonveg
enn_mn,27,enn_mn_nonobserv
enn_mn,29,enn_mn_outcrop
enn_mn,30,enn_mn_mining
enn_mn,32,enn_mn_saltflat
enn_mn,33,enn_mn_riverlakeocean
enn_mn,34,enn_mn_glacier
