Muni_Code,Muni_Name,Year,Cases,Population,Incidence,Disease
05001,MEDELLIN,2014,69,2117947,3.257871891978411e-5,Chikungunya
05001,MEDELLIN,2015,475,2181418,2.1774827199555518e-4,Chikungunya
05001,MEDELLIN,2016,199,2212743,8.993362536905551e-5,Chikungunya
05001,MEDELLIN,2017,37,2262272,1.635523933461582e-5,Chikungunya
05002,ABEJORRAL,2014,1,20858,4.794323520951194e-5,Chikungunya
05002,ABEJORRAL,2015,3,21087,1.422677479015507e-4,Chikungunya
05002,ABEJORRAL,2016,1,21730,4.601932811780948e-5,Chikungunya
05002,ABEJORRAL,2017,0,22239,0,Chikungunya
05004,ABRIAQUI,2014,0,2916,0,Chikungunya
05004,ABRIAQUI,2015,0,2967,0,Chikungunya
05004,ABRIAQUI,2016,0,3005,0,Chikungunya
05004,ABRIAQUI,2017,0,3072,0,Chikungunya
05021,ALEJANDRIA,2014,0,3983,0,Chikungunya
05021,ALEJANDRIA,2015,0,3868,0,Chikungunya
05021,ALEJANDRIA,2016,0,4006,0,Chikungunya
05021,ALEJANDRIA,2017,0,4094,0,Chikungunya
05030,AMAGA,2014,1,28915,3.4584125886218224e-5,Chikungunya
05030,AMAGA,2015,10,29154,3.4300610550867805e-4,Chikungunya
05030,AMAGA,2016,8,29446,2.7168376010323984e-4,Chikungunya
05030,AMAGA,2017,1,30109,3.3212660666245974e-5,Chikungunya
05031,AMALFI,2014,0,21613,0,Chikungunya
05031,AMALFI,2015,1,22204,4.503693028283192e-5,Chikungunya
05031,AMALFI,2016,0,22365,0,Chikungunya
05031,AMALFI,2017,0,22864,0,Chikungunya
05034,ANDES,2014,3,41716,7.191485281426791e-5,Chikungunya
05034,ANDES,2015,13,41789,3.1108664959678383e-4,Chikungunya
05034,ANDES,2016,0,43289,0,Chikungunya
05034,ANDES,2017,0,44172,0,Chikungunya
05036,ANGELOPOLIS,2014,0,8986,0,Chikungunya
05036,ANGELOPOLIS,2015,0,8834,0,Chikungunya
05036,ANGELOPOLIS,2016,0,9416,0,Chikungunya
05036,ANGELOPOLIS,2017,0,9593,0,Chikungunya
05038,ANGOSTURA,2014,0,14920,0,Chikungunya
05038,ANGOSTURA,2015,0,15591,0,Chikungunya
05038,ANGOSTURA,2016,0,15581,0,Chikungunya
05038,ANGOSTURA,2017,0,16019,0,Chikungunya
05040,ANORI,2014,0,17820,0,Chikungunya
05040,ANORI,2015,4,18358,2.178886588953045e-4,Chikungunya
05040,ANORI,2016,3,18500,1.6216216216216215e-4,Chikungunya
05040,ANORI,2017,0,18937,0,Chikungunya
05042,SANTAFE DE ANTIOQUIA,2014,13,18083,7.189072609633358e-4,Chikungunya
05042,SANTAFE DE ANTIOQUIA,2015,26,20116,0.001292503479817061,Chikungunya
05042,SANTAFE DE ANTIOQUIA,2016,17,18560,9.15948275862069e-4,Chikungunya
05042,SANTAFE DE ANTIOQUIA,2017,2,18967,1.054463014709759e-4,Chikungunya
05044,ANZA,2014,0,6024,0,Chikungunya
05044,ANZA,2015,21,6779,0.0030978020356984804,Chikungunya
05044,ANZA,2016,0,6084,0,Chikungunya
05044,ANZA,2017,0,6196,0,Chikungunya
05045,APARTADO,2014,10,142521,7.016509847671572e-5,Chikungunya
05045,APARTADO,2015,90,145721,6.176185999272583e-4,Chikungunya
05045,APARTADO,2016,4,148717,2.689672330668316e-5,Chikungunya
05045,APARTADO,2017,4,151881,2.6336408108980058e-5,Chikungunya
05051,ARBOLETES,2014,18,22389,8.039662334181965e-4,Chikungunya
05051,ARBOLETES,2015,16,22996,6.957731779439903e-4,Chikungunya
05051,ARBOLETES,2016,2,23622,8.466683600033866e-5,Chikungunya
05051,ARBOLETES,2017,0,24319,0,Chikungunya
05055,ARGELIA,2014,1,9925,1.0075566750629723e-4,Chikungunya
05055,ARGELIA,2015,0,10172,0,Chikungunya
05055,ARGELIA,2016,0,10471,0,Chikungunya
05055,ARGELIA,2017,0,10686,0,Chikungunya
05059,ARMENIA,2014,0,7290,0,Chikungunya
05059,ARMENIA,2015,8,6943,0.001152239665850497,Chikungunya
05059,ARMENIA,2016,4,7820,5.115089514066496e-4,Chikungunya
05059,ARMENIA,2017,0,8061,0,Chikungunya
05079,BARBOSA,2014,0,55155,0,Chikungunya
05079,BARBOSA,2015,1,56355,1.7744654422855114e-5,Chikungunya
05079,BARBOSA,2016,1,57145,1.7499343774608453e-5,Chikungunya
05079,BARBOSA,2017,7,58450,1.1976047904191617e-4,Chikungunya
05086,BELMIRA,2014,0,7712,0,Chikungunya
05086,BELMIRA,2015,0,7829,0,Chikungunya
05086,BELMIRA,2016,0,8063,0,Chikungunya
05086,BELMIRA,2017,0,8236,0,Chikungunya
05088,BELLO,2014,8,492996,1.622731218914555e-5,Chikungunya
05088,BELLO,2015,70,508457,1.3767142550894177e-4,Chikungunya
05088,BELLO,2016,43,519283,8.280648509579554e-5,Chikungunya
05088,BELLO,2017,5,529838,9.436846734284819e-6,Chikungunya
05091,BETANIA,2014,1,10832,9.231905465288036e-5,Chikungunya
05091,BETANIA,2015,4,11703,3.417927027257968e-4,Chikungunya
05091,BETANIA,2016,0,12285,0,Chikungunya
05091,BETANIA,2017,0,12581,0,Chikungunya
05093,BETULIA,2014,0,15192,0,Chikungunya
05093,BETULIA,2015,5,15787,3.1671628555140303e-4,Chikungunya
05093,BETULIA,2016,1,15902,6.288517167651868e-5,Chikungunya
05093,BETULIA,2017,0,16190,0,Chikungunya
05101,CIUDAD BOLIVAR,2014,16,34657,4.6166719566032835e-4,Chikungunya
05101,CIUDAD BOLIVAR,2015,29,34850,8.321377331420373e-4,Chikungunya
05101,CIUDAD BOLIVAR,2016,4,36464,1.0969723562966213e-4,Chikungunya
05101,CIUDAD BOLIVAR,2017,0,37457,0,Chikungunya
05107,BRICE¥O,2014,0,9687,0,Chikungunya
05107,BRICE¥O,2015,0,8685,0,Chikungunya
05107,BRICE¥O,2016,1,9839,1.0163634515702815e-4,Chikungunya
05107,BRICE¥O,2017,0,10049,0,Chikungunya
05113,BURITICA,2014,0,6254,0,Chikungunya
05113,BURITICA,2015,0,6553,0,Chikungunya
05113,BURITICA,2016,7,6537,0.0010708275967569222,Chikungunya
05113,BURITICA,2017,1,6697,1.4932059130954157e-4,Chikungunya
05120,CACERES,2014,34,34972,9.722063364977696e-4,Chikungunya
05120,CACERES,2015,39,35138,0.0011099094996869486,Chikungunya
05120,CACERES,2016,1,36397,2.7474791878451522e-5,Chikungunya
05120,CACERES,2017,0,37180,0,Chikungunya
05125,CAICEDO,2014,0,8644,0,Chikungunya
05125,CAICEDO,2015,0,8905,0,Chikungunya
