"","statistic","aad_v6","old_aad","difference"
"1","Code_mean",1782611.4799904,1718984.51672963,63626.9632607677
"2","Code_var",3233595327752.79,3296376962047.59,-62781634294.8022
"3","Year_mean",2010.9956779254,2010.68364042865,0.312037496755693
"4","Year_var",25.2916930090024,21.4907920665325,3.80090094246997
"5","NDVI_mean",0.589965297418123,0.573420288660763,0.0165450087573602
"6","NDVI_var",0.0138573981022768,0.0151943221789454,-0.00133692407666856
"7","EVI_mean",0.37895290767773,0.367078302331128,0.0118746053466018
"8","EVI_var",0.0082598772243904,0.00913735676315659,-0.000877479538766194
"9","LST_Day_mean",27.7608103179875,27.4405684578527,0.320241860134836
"10","LST_Day_var",19.8064886038481,21.1606150996398,-1.35412649579168
"11","LST_Night_mean",16.8180533021202,14.835276432862,1.98277686925815
"12","LST_Night_var",59.0322694984285,74.7391400678096,-15.7068705693811
"13","StableLights_mean",0.902510241182589,0.926409265140953,-0.0238990239583633
"14","StableLights_var",10.5169785492975,10.6980329399475,-0.181054390650067
"15","AvgRad_mean",0.28402768609205,0.286468981439503,-0.00244129534745247
"16","AvgRad_var",1.34508458663225,2.25713491961422,-0.912050332981976
"17","Precip_mean",1705.74238744906,1572.48557023162,133.256817217446
"18","Precip_var",509400.063326404,475324.507402214,34075.5559241897
"19","Population_mean",23162.5231683899,20541.9426412767,2620.58052711317
"20","Population_var",8681972822.3441,7190124912.75597,1491847909.58813
"21","OptTemp_Obs_mean",42.6439715715547,42.7027600030838,-0.0587884315290665
"22","OptTemp_Obs_var",96.2450106537464,89.9866228126818,6.25838784106459
"23","Dengue_Alb_OptTemp_mean",10.4906009504184,10.0511911186493,0.439409831769142
"24","Dengue_Alb_OptTemp_var",87.8814302848187,81.872403461487,6.00902682333169
"25","Dengue_Aeg_OptTemp_mean",8.5710080322974,8.29296122118572,0.278046811111683
"26","Dengue_Aeg_OptTemp_var",33.7060666556256,35.4785665440418,-1.77249988841619
"27","Chik_Alb_OptTemp_mean",10.4906009504184,10.0511911186493,0.439409831769142
"28","Chik_Alb_OptTemp_var",87.8814302848187,81.872403461487,6.00902682333169
"29","Chik_Aeg_OptTemp_mean",8.5710080322974,8.29296122118572,0.278046811111683
"30","Chik_Aeg_OptTemp_var",33.7060666556256,35.4785665440418,-1.77249988841619
"31","Zika_OptTemp_mean",8.5710080322974,8.29296122118572,0.278046811111683
"32","Zika_OptTemp_var",33.7060666556256,35.4785665440418,-1.77249988841619
"33","Malaria_OptTemp_mean",7.46141553471551,7.26597795081335,0.195437583902152
"34","Malaria_OptTemp_var",54.9468983410338,49.6070603345818,5.33983800645194
"35","Muni_TotalArea_mean",477368.154378902,424652.785180016,52715.3691988859
