"row_number","Code"
"1","18001"
"2","18029"
"3","18094"
"4","18247"
"5","18256"
"6","18410"
"7","18460"
"8","18479"
"9","18610"
"10","18860"
"11","18150"
"12","18753"
"13","18756"
"14","18785"
"15","18205"
"16","18592"
"17","19100"
"18","19397"
"19","19533"
"20","19693"
"21","19701"
"22","86001"
"23","86219"
"24","86320"
"25","86749"
"26","86755"
"27","86757"
"28","86760"
"29","86865"
"30","86885"
"31","86569"
"32","86568"
"33","86571"
"34","86573"
"35","52560"
"36","52573"
"37","52215"
"38","52001"
"39","52110"
"40","52788"
"41","52258"
"42","52378"
"43","52287"
"44","52356"
"45","94001"
"46","94343"
"47","94663"
"48","94883"
"49","94884"
"50","94885"
"51","94886"
"52","94887"
"53","94888"
"54","99001"
"55","99773"
"56","91001"
"57","91263"
"58","91405"
"59","91407"
"60","91430"
"61","91460"
"62","91530"
"63","91536"
"64","91540"
"65","91669"
"66","91798"
"67","97001"
"68","97161"
"69","97511"
"70","97666"
"71","97777"
"72","97889"
"73","95001"
"74","95015"
"75","95025"
"76","95200"
"77","81001"
"78","25339"
"79","11001"
"80","50006"
"81","50110"
"82","50223"
"83","50251"
"84","50270"
"85","50287"
"86","50313"
"87","50318"
"88","50330"
"89","50370"
"90","50400"
"91","50450"
"92","50577"
"93","50590"
"94","50606"
"95","50683"
"96","50689"
"97","50711"
"98","50350"
"99","50325"
"100","50568"
"101","41001"
"102","41319"
"103","41530"
"104","41551"
"105","41615"
"106","41668"
"107","41770"
"108","41799"
"109","41298"
"110","41206"
"111","41078"
"112","41020"
"113","41006"
