"row","x"
"1",1100015
"2",1100023
"3",1100031
"4",1100049
"5",1100056
"6",1100064
"7",1100072
"8",1100080
"9",1100098
"10",1100106
"11",1100114
"12",1100122
"13",1100130
"14",1100148
"15",1100155
"16",1100189
"17",1100205
"18",1100254
"19",1100262
"20",1100288
"21",1100296
"22",1100304
"23",1100320
"24",1100338
"25",1100346
"26",1100379
"27",1100403
"28",1100452
"29",1100502
"30",1100601
"31",1100700
"32",1100809
"33",1100908
"34",1100924
"35",1100940
"36",1101005
"37",1101104
"38",1101203
"39",1101302
"40",1101401
"41",1101435
"42",1101450
"43",1101468
"44",1101476
"45",1101484
"46",1101492
"47",1101500
"48",1101559
"49",1101609
"50",1101708
"51",1101757
"52",1101807
"53",1200013
"54",1200054
"55",1200104
"56",1200138
"57",1200179
"58",1200203
"59",1200252
"60",1200302
"61",1200328
"62",1200336
"63",1200344
"64",1200351
"65",1200385
"66",1200393
"67",1200401
"68",1200427
"69",1200435
"70",1200450
"71",1200500
"72",1200609
"73",1200708
"74",1200807
"75",1300029
"76",1300060
"77",1300086
"78",1300102
"79",1300144
"80",1300201
"81",1300300
"82",1300409
"83",1300508
"84",1300607
"85",1300631
"86",1300680
"87",1300706
"88",1300805
"89",1300839
"90",1300904
"91",1301001
"92",1301100
"93",1301159
"94",1301209
"95",1301308
"96",1301407
"97",1301506
"98",1301605
"99",1301654
"100",1301704
"101",1301803
"102",1301852
"103",1301902
"104",1301951
"105",1302009
"106",1302108
"107",1302207
"108",1302306
"109",1302405
"110",1302504
"111",1302553
"112",1302603
"113",1302702
"114",1302801
"115",1302900
"116",1303007
"117",1303106
"118",1303205
"119",1303304
"120",1303403
"121",1303502
"122",1303536
"123",1303569
"124",1303601
"125",1303700
"126",1303809
"127",1303908
"128",1303957
"129",1304005
"130",1304062
"131",1304104
"132",1304203
"133",1304237
"134",1304260
"135",1304302
"136",1304401
"137",1400027
"138",1400050
"139",1400100
"140",1400159
"141",1400175
"142",1400209
"143",1400233
"144",1400282
"145",1400308
"146",1400407
"147",1400456
"148",1400472
"149",1400506
"150",1400605
"151",1400704
"152",1500107
"153",1500131
"154",1500206
"155",1500305
"156",1500347
"157",1500404
"158",1500503
"159",1500602
"160",1500701
"161",1500800
"162",1500859
"163",1500909
"164",1500958
"165",1501006
"166",1501105
"167",1501204
"168",1501253
"169",1501303
"170",1501402
"171",1501451
"172",1501501
"173",1501576
"174",1501600
"175",1501709
"176",1501725
